date,actual,forecast,error,abs_error,percent_error,abs_percent_error,model_name
2025-08-05,76015.0,64371.33061505324,11643.669384946763,11643.669384946763,15.31759440235054,15.31759440235054,N-BEATS_pink_Last30Days
2025-08-06,74041.0,63651.75581345227,10389.24418654773,10389.24418654773,14.031744825904202,14.031744825904202,N-BEATS_pink_Last30Days
2025-08-07,74665.0,63444.881702277744,11220.118297722256,11220.118297722256,15.027279579082911,15.027279579082911,N-BEATS_pink_Last30Days
2025-08-08,84112.0,67616.72319228388,16495.276807716116,16495.276807716116,19.61108617999348,19.61108617999348,N-BEATS_pink_Last30Days
2025-08-09,53323.0,49593.60377459817,3729.3962254018334,3729.3962254018334,6.993973004898137,6.993973004898137,N-BEATS_pink_Last30Days
2025-08-10,47582.0,45357.3543538155,2224.645646184501,2224.645646184501,4.675393312984955,4.675393312984955,N-BEATS_pink_Last30Days
2025-08-11,44933.0,57591.04592806864,-12658.045928068641,12658.045928068641,-28.17093434239566,28.17093434239566,N-BEATS_pink_Last30Days
2025-08-12,39424.0,60518.12478092364,-21094.124780923637,21094.124780923637,-53.505795406157766,53.505795406157766,N-BEATS_pink_Last30Days
2025-08-13,78032.0,63382.154845250596,14649.845154749404,14649.845154749404,18.774150546890255,18.774150546890255,N-BEATS_pink_Last30Days
2025-08-14,75669.0,64851.201228287966,10817.798771712034,10817.798771712034,14.296209506815252,14.296209506815252,N-BEATS_pink_Last30Days
2025-08-15,83401.0,65046.98777640331,18354.012223596692,18354.012223596692,22.006945028952522,22.006945028952522,N-BEATS_pink_Last30Days
2025-08-16,51696.0,49857.36495122123,1838.6350487787713,1838.6350487787713,3.5566292339422225,3.5566292339422225,N-BEATS_pink_Last30Days
2025-08-17,43413.0,45778.592406284864,-2365.5924062848644,2365.5924062848644,-5.449041545815457,5.449041545815457,N-BEATS_pink_Last30Days
2025-08-18,74674.0,61673.25850241698,13000.741497583018,13000.741497583018,17.409997452370327,17.409997452370327,N-BEATS_pink_Last30Days
2025-08-19,74085.0,66841.24269611969,7243.757303880309,7243.757303880309,9.77763015978985,9.77763015978985,N-BEATS_pink_Last30Days
2025-08-20,74076.0,63974.52902678917,10101.470973210831,10101.470973210831,13.636631261421824,13.636631261421824,N-BEATS_pink_Last30Days
2025-08-21,74438.0,64205.438495621245,10232.561504378755,10232.561504378755,13.746421860311608,13.746421860311608,N-BEATS_pink_Last30Days
2025-08-22,79086.0,65631.48371749515,13454.516282504846,13454.516282504846,17.012513317786773,17.012513317786773,N-BEATS_pink_Last30Days
2025-08-23,50492.0,49828.430733054316,663.5692669456839,663.5692669456839,1.31420673957396,1.31420673957396,N-BEATS_pink_Last30Days
2025-08-24,32433.0,45263.02989352592,-12830.02989352592,12830.02989352592,-39.55856656345673,39.55856656345673,N-BEATS_pink_Last30Days
2025-08-25,75320.0,61154.99921820274,14165.000781797258,14165.000781797258,18.806426954059024,18.806426954059024,N-BEATS_pink_Last30Days
2025-08-26,74930.0,66409.81098861844,8520.18901138156,8520.18901138156,11.370864822342934,11.370864822342934,N-BEATS_pink_Last30Days
2025-08-27,73076.0,63508.462497746536,9567.537502253464,9567.537502253464,13.09258511994836,13.09258511994836,N-BEATS_pink_Last30Days
2025-08-28,72683.0,65145.27345774598,7537.726542254022,7537.726542254022,10.370687151402697,10.370687151402697,N-BEATS_pink_Last30Days
2025-08-29,79249.0,67498.0276298173,11750.972370182702,11750.972370182702,14.827912491239893,14.827912491239893,N-BEATS_pink_Last30Days
2025-08-30,53569.0,49478.840278898664,4090.159721101336,4090.159721101336,7.635310946818749,7.635310946818749,N-BEATS_pink_Last30Days
2025-08-31,45400.0,44575.03952873565,824.9604712643486,824.9604712643486,1.8170935490404154,1.8170935490404154,N-BEATS_pink_Last30Days
2025-09-01,75159.0,59741.79316770031,15417.206832299693,15417.206832299693,20.512788664430996,20.512788664430996,N-BEATS_pink_Last30Days
2025-09-02,75584.0,65599.80899644393,9984.191003556072,9984.191003556072,13.209397496237393,13.209397496237393,N-BEATS_pink_Last30Days
2025-09-03,75169.0,62118.27563696531,13050.724363034693,13050.724363034693,17.361843796025877,17.361843796025877,N-BEATS_pink_Last30Days
