epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,11427.529296875,,,,,
0,,19,,10358.6259765625,,,,,
0,,28,,,23792.224609375,0.30519261956214905,28045.26953125,0.36292916536331177,17019.900390625
0,,28,12157.634765625,,,,,,
,0.0003,29,,,,,,,
1,,29,,8587.5537109375,,,,,
1,,39,,7204.92822265625,,,,,
1,,49,,6243.78955078125,,,,,
1,,57,,,8903.16015625,0.1452009379863739,15067.3896484375,0.12714692950248718,7856.30322265625
1,,57,6985.66015625,,,,,,
,0.0003,58,,,,,,,
2,,59,,5624.5537109375,,,,,
2,,69,,4803.6083984375,,,,,
2,,79,,4308.912109375,,,,,
2,,86,,,6926.455078125,0.12712594866752625,13162.7138671875,0.10082016885280609,4502.736328125
2,,86,4510.75927734375,,,,,,
,0.0003,87,,,,,,,
3,,89,,4012.717041015625,,,,,
3,,99,,3328.4931640625,,,,,
3,,109,,3822.129638671875,,,,,
3,,115,,,6428.37451171875,0.11969035118818283,12192.8916015625,0.09427536278963089,4095.181884765625
3,,115,3639.74951171875,,,,,,
,0.0003,116,,,,,,,
4,,119,,3349.806396484375,,,,,
4,,129,,3761.5078125,,,,,
4,,139,,3071.433349609375,,,,,
4,,144,,,6110.375,0.11278689652681351,11560.181640625,0.08832895755767822,3850.276611328125
4,,144,3320.70751953125,,,,,,
,0.0003,145,,,,,,,
5,,149,,2787.76708984375,,,,,
5,,159,,3110.49951171875,,,,,
5,,169,,3357.478759765625,,,,,
5,,173,,,5998.57177734375,0.10974181443452835,11156.861328125,0.08675257116556168,3543.3515625
5,,173,3096.779541015625,,,,,,
,0.0003,174,,,,,,,
6,,179,,3138.542236328125,,,,,
6,,189,,3160.5458984375,,,,,
6,,199,,2696.882568359375,,,,,
6,,202,,,5061.828125,0.09808646142482758,10354.5595703125,0.07621141523122787,3088.479736328125
6,,202,2871.46826171875,,,,,,
,0.0003,203,,,,,,,
7,,209,,2758.7392578125,,,,,
7,,219,,2623.5625,,,,,
7,,229,,2354.2041015625,,,,,
7,,231,,,4574.439453125,0.08749723434448242,9547.5341796875,0.06852899491786957,3104.261474609375
7,,231,2592.147705078125,,,,,,
,0.0003,232,,,,,,,
8,,239,,2464.3623046875,,,,,
8,,249,,2485.40380859375,,,,,
8,,259,,2394.645751953125,,,,,
8,,260,,,3957.53173828125,0.0788884311914444,9223.2666015625,0.060404397547245026,2808.36669921875
8,,260,2413.853271484375,,,,,,
,0.0003,261,,,,,,,
9,,269,,2469.086669921875,,,,,
9,,279,,2095.598388671875,,,,,
9,,289,,2200.9931640625,,,,,
9,,289,,,3701.073974609375,0.0736713781952858,9045.833984375,0.05576528608798981,2630.46044921875
9,,289,2268.828857421875,,,,,,
,0.0003,290,,,,,,,
10,,299,,2460.761474609375,,,,,
10,,309,,2155.394775390625,,,,,
10,,318,,,3894.401123046875,0.07520776242017746,8992.44921875,0.057920124381780624,2704.331298828125
10,,318,2186.470703125,,,,,,
,0.0003,319,,,,,,,
11,,319,,1851.3924560546875,,,,,
11,,329,,2065.735595703125,,,,,
11,,339,,2133.089599609375,,,,,
11,,347,,,3746.688232421875,0.07376708090305328,8830.4755859375,0.05685606226325035,2675.56884765625
11,,347,2090.155517578125,,,,,,
,0.0003,348,,,,,,,
12,,349,,1956.7056884765625,,,,,
12,,359,,2088.97265625,,,,,
