epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0001,0,,,,,,,
0,,9,,14832.439453125,,,,,
0,,19,,13239.65625,,,,,
0,,27,,,12180.9833984375,0.17646043002605438,13807.568359375,0.1876544952392578,12180.9833984375
0,,27,14275.6416015625,,,,,,
,0.0001,28,,,,,,,
1,,29,,10832.21484375,,,,,
1,,39,,8943.96484375,,,,,
1,,49,,8034.87841796875,,,,,
1,,55,,,6807.0537109375,0.10998939722776413,9377.7734375,0.10326270014047623,6807.0537109375
1,,55,9333.287109375,,,,,,
,0.0001,56,,,,,,,
2,,59,,7970.7353515625,,,,,
2,,69,,7762.10107421875,,,,,
2,,79,,6743.91357421875,,,,,
2,,83,,,5295.1103515625,0.08960635215044022,8234.6435546875,0.08157825469970703,5295.1103515625
2,,83,7159.4931640625,,,,,,
,0.0001,84,,,,,,,
3,,89,,6244.80126953125,,,,,
3,,99,,7107.8369140625,,,,,
3,,109,,6060.76513671875,,,,,
3,,111,,,4813.14697265625,0.08214179426431656,8010.28125,0.07397710531949997,4813.14697265625
3,,111,6412.97021484375,,,,,,
,0.0001,112,,,,,,,
4,,119,,6006.61865234375,,,,,
4,,129,,5352.6748046875,,,,,
4,,139,,5106.35302734375,,,,,
4,,139,,,4781.70849609375,0.08213378489017487,8013.39697265625,0.07361990958452225,4781.70849609375
4,,139,5684.22607421875,,,,,,
,0.0001,140,,,,,,,
5,,149,,5822.8095703125,,,,,
5,,159,,5168.99560546875,,,,,
5,,167,,,4613.8349609375,0.08041278272867203,8095.1826171875,0.07134175300598145,4613.8349609375
5,,167,5220.1259765625,,,,,,
,0.0001,168,,,,,,,
6,,169,,4738.25634765625,,,,,
6,,179,,5334.75927734375,,,,,
6,,189,,4529.72607421875,,,,,
6,,195,,,4467.42626953125,0.07858981937170029,8067.0,0.06933633983135223,4467.42626953125
6,,195,5010.37255859375,,,,,,
,0.0001,196,,,,,,,
7,,199,,4745.76025390625,,,,,
7,,209,,4354.76318359375,,,,,
7,,219,,4666.35205078125,,,,,
7,,223,,,4370.8125,0.07729006558656693,8056.4599609375,0.06796035915613174,4370.8125
7,,223,4780.87939453125,,,,,,
,0.0001,224,,,,,,,
8,,229,,4522.10009765625,,,,,
8,,239,,4525.99365234375,,,,,
8,,249,,4634.72998046875,,,,,
8,,251,,,4301.97216796875,0.0766691192984581,8045.6025390625,0.06717094033956528,4301.97216796875
8,,251,4652.20458984375,,,,,,
,0.0001,252,,,,,,,
9,,259,,4513.0322265625,,,,,
9,,269,,4785.6259765625,,,,,
9,,279,,4490.1328125,,,,,
9,,279,,,4334.59326171875,0.07676365971565247,7982.595703125,0.06752584874629974,4334.59326171875
9,,279,4611.7578125,,,,,,
,0.0001,280,,,,,,,
10,,289,,4480.04833984375,,,,,
10,,299,,4269.18017578125,,,,,
10,,307,,,4398.349609375,0.07710452377796173,7925.68701171875,0.0682859718799591,4398.349609375
10,,307,4543.18701171875,,,,,,
,0.0001,308,,,,,,,
11,,309,,4227.0537109375,,,,,
11,,319,,4432.72509765625,,,,,
11,,329,,4613.80224609375,,,,,
11,,335,,,4440.85498046875,0.07748059928417206,7850.97021484375,0.0689229890704155,4440.85498046875
11,,335,4519.7880859375,,,,,,
,0.0001,336,,,,,,,
12,,339,,4248.33837890625,,,,,
12,,349,,4318.48486328125,,,,,
12,,359,,3753.75,,,,,
12,,363,,,4306.6943359375,0.0761011615395546,7899.1435546875,0.06713481992483139,4306.6943359375
12,,363,4429.03955078125,,,,,,
,0.0001,364,,,,,,,
13,,369,,4906.9033203125,,,,,
13,,379,,4315.33251953125,,,,,
13,,389,,4544.5498046875,,,,,
13,,391,,,4296.333984375,0.07578115910291672,7862.52734375,0.06695311516523361,4296.333984375
13,,391,4399.4189453125,,,,,,
,0.0001,392,,,,,,,
14,,399,,4646.4521484375,,,,,
14,,409,,4119.7119140625,,,,,
14,,419,,4551.33837890625,,,,,
14,,419,,,4148.5712890625,0.07423155754804611,7895.10302734375,0.06501476466655731,4148.5712890625
14,,419,4332.82470703125,,,,,,
,0.0001,420,,,,,,,
15,,429,,4325.37841796875,,,,,
15,,439,,4460.43310546875,,,,,
15,,447,,,4299.17236328125,0.07572074234485626,7806.16796875,0.06701862066984177,4299.17236328125
15,,447,4283.36865234375,,,,,,
,0.0001,448,,,,,,,
16,,449,,4314.46337890625,,,,,
16,,459,,4186.04248046875,,,,,
16,,469,,4275.78125,,,,,
16,,475,,,4296.34326171875,0.07550416141748428,7734.72265625,0.067007876932621,4296.34326171875
16,,475,4260.90087890625,,,,,,
,0.0001,476,,,,,,,
17,,479,,4328.42041015625,,,,,
17,,489,,4667.42333984375,,,,,
17,,499,,3988.755126953125,,,,,
17,,503,,,4303.2236328125,0.07584872096776962,7727.736328125,0.06724433600902557,4303.2236328125
17,,503,4188.1669921875,,,,,,
,0.0001,504,,,,,,,
18,,509,,3929.98876953125,,,,,
18,,519,,4023.572509765625,,,,,
18,,529,,3797.984619140625,,,,,
18,,531,,,4442.45751953125,0.07691127806901932,7665.283203125,0.06891100853681564,4442.45751953125
18,,531,4159.9130859375,,,,,,
,0.0001,532,,,,,,,
19,,539,,4464.72998046875,,,,,
19,,549,,4102.8173828125,,,,,
19,,559,,4208.181640625,,,,,
19,,559,,,4220.99267578125,0.07437964528799057,7658.00439453125,0.06600599735975266,4220.99267578125
19,,559,4126.46533203125,,,,,,
