epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,58814.16015625,,,,,
0,,19,,48861.875,,,,,
0,,28,,,34315.83203125,0.09287039190530777,55227.93359375,0.08152344077825546,34315.83203125
0,,28,62193.05078125,,,,,,
,0.0003,29,,,,,,,
1,,29,,45854.515625,,,,,
1,,39,,41617.9765625,,,,,
1,,49,,39059.78515625,,,,,
1,,57,,,37488.1171875,0.09796881675720215,55995.8828125,0.0876961499452591,37488.1171875
1,,57,41493.921875,,,,,,
,0.0003,58,,,,,,,
2,,59,,36355.66015625,,,,,
2,,69,,33745.5859375,,,,,
2,,79,,32784.38671875,,,,,
2,,86,,,37245.16796875,0.09629645198583603,54009.4140625,0.08712886273860931,37245.16796875
2,,86,35905.4453125,,,,,,
,0.0003,87,,,,,,,
3,,89,,40877.58984375,,,,,
3,,99,,35119.15234375,,,,,
3,,109,,35880.71484375,,,,,
3,,115,,,31484.1328125,0.08493737876415253,49663.54296875,0.0751379057765007,31484.1328125
3,,115,34366.87109375,,,,,,
,0.0003,116,,,,,,,
4,,119,,34173.98046875,,,,,
4,,129,,33173.62890625,,,,,
4,,139,,30766.017578125,,,,,
4,,144,,,27720.92578125,0.0746612697839737,43874.9921875,0.06693758815526962,27720.92578125
4,,144,32022.99609375,,,,,,
,0.0003,145,,,,,,,
5,,149,,33945.92578125,,,,,
5,,159,,32827.51171875,,,,,
5,,169,,32250.25390625,,,,,
5,,173,,,27889.63671875,0.0717536211013794,38983.671875,0.06675709038972855,27889.63671875
5,,173,29975.1953125,,,,,,
,0.0003,174,,,,,,,
6,,179,,31655.947265625,,,,,
6,,189,,28741.73046875,,,,,
6,,199,,26476.69921875,,,,,
6,,202,,,20545.75390625,0.0529789999127388,28954.892578125,0.04995877668261528,20545.75390625
6,,202,27714.728515625,,,,,,
,0.0003,203,,,,,,,
7,,209,,26723.44140625,,,,,
7,,219,,27573.0078125,,,,,
7,,229,,25377.12890625,,,,,
7,,231,,,24886.146484375,0.058669257909059525,29409.978515625,0.058202918618917465,24886.146484375
7,,231,25620.51953125,,,,,,
,0.0003,232,,,,,,,
8,,239,,22164.908203125,,,,,
8,,249,,25331.654296875,,,,,
8,,259,,26537.3671875,,,,,
8,,260,,,20834.8828125,0.05079847201704979,25490.748046875,0.05015421658754349,20834.8828125
8,,260,24884.61328125,,,,,,
,0.0003,261,,,,,,,
9,,269,,22455.685546875,,,,,
9,,279,,21850.150390625,,,,,
9,,289,,23511.666015625,,,,,
9,,289,,,20585.677734375,0.04993104189634323,24515.623046875,0.04957660660147667,20585.677734375
9,,289,23517.994140625,,,,,,
,0.0003,290,,,,,,,
10,,299,,22347.34375,,,,,
10,,309,,20768.693359375,,,,,
10,,318,,,21747.396484375,0.05161957070231438,25255.7421875,0.051793280988931656,21747.396484375
10,,318,22850.482421875,,,,,,
,0.0003,319,,,,,,,
11,,319,,20784.697265625,,,,,
11,,329,,21868.36328125,,,,,
11,,339,,23103.607421875,,,,,
11,,347,,,19888.791015625,0.04807499796152115,23411.125,0.048259250819683075,19888.791015625
11,,347,22069.662109375,,,,,,
,0.0003,348,,,,,,,
12,,349,,20126.6015625,,,,,
12,,359,,20980.572265625,,,,,
12,,369,,21085.869140625,,,,,
12,,376,,,18594.958984375,0.045061931014060974,21947.943359375,0.04534478113055229,18594.958984375
12,,376,21426.81640625,,,,,,
,0.0003,377,,,,,,,
13,,379,,21151.259765625,,,,,
13,,389,,21425.998046875,,,,,
13,,399,,18933.0234375,,,,,
13,,405,,,17976.537109375,0.04362982511520386,21312.603515625,0.044133223593235016,17976.537109375
13,,405,21295.34765625,,,,,,
,0.0003,406,,,,,,,
14,,409,,19724.705078125,,,,,
14,,419,,19445.24609375,,,,,
14,,429,,23370.908203125,,,,,
14,,434,,,20605.533203125,0.04844613000750542,23808.287109375,0.049404654651880264,20605.533203125
14,,434,21084.08984375,,,,,,
,0.0003,435,,,,,,,
15,,439,,18922.3203125,,,,,
15,,449,,22608.23046875,,,,,
15,,459,,23619.529296875,,,,,
15,,463,,,18680.87109375,0.04471563920378685,21787.09375,0.04529143124818802,18680.87109375
15,,463,20964.66796875,,,,,,
,0.0003,464,,,,,,,
16,,469,,20596.216796875,,,,,
16,,479,,20141.728515625,,,,,
16,,489,,21260.357421875,,,,,
16,,492,,,19301.169921875,0.04585970938205719,22455.888671875,0.04661335051059723,19301.169921875
16,,492,20168.951171875,,,,,,
,0.0003,493,,,,,,,
17,,499,,22029.173828125,,,,,
17,,509,,20193.603515625,,,,,
17,,519,,20497.8203125,,,,,
17,,521,,,19561.259765625,0.046550314873456955,22736.1953125,0.0470929779112339,19561.259765625
17,,521,19903.11328125,,,,,,
,0.0003,522,,,,,,,
18,,529,,18032.0,,,,,
18,,539,,21673.1171875,,,,,
18,,549,,19378.701171875,,,,,
18,,550,,,20086.98828125,0.04748103767633438,23179.01171875,0.04814303666353226,20086.98828125
18,,550,19554.025390625,,,,,,
,0.00015,551,,,,,,,
19,,559,,19955.0546875,,,,,
19,,569,,18664.353515625,,,,,
19,,579,,21420.787109375,,,,,
19,,579,,,21024.927734375,0.04896038398146629,24000.97265625,0.04983505234122276,21024.927734375
19,,579,19057.375,,,,,,
