date,actual,forecast,error,abs_error,percent_error,abs_percent_error,model_name
2025-08-05,856135,812793.7729387667,43341.22706123325,43341.22706123325,5.062429063317497,5.062429063317497,N-BEATS_bts_Last30Days
2025-08-06,841781,804073.3139325534,37707.6860674466,37707.6860674466,4.479512612834764,4.479512612834764,N-BEATS_bts_Last30Days
2025-08-07,841784,863520.9488211842,-21736.948821184225,21736.948821184225,-2.5822478000513462,2.5822478000513462,N-BEATS_bts_Last30Days
2025-08-08,911072,921143.4030919657,-10071.403091965709,10071.403091965709,-1.1054453536016593,1.1054453536016593,N-BEATS_bts_Last30Days
2025-08-09,587783,646858.4341873853,-59075.43418738525,59075.43418738525,-10.050551681043048,10.050551681043048,N-BEATS_bts_Last30Days
2025-08-10,522189,501230.58525767707,20958.41474232293,20958.41474232293,4.0135687925871535,4.0135687925871535,N-BEATS_bts_Last30Days
2025-08-11,566856,627647.730374909,-60791.730374909006,60791.730374909006,-10.72436921809225,10.72436921809225,N-BEATS_bts_Last30Days
2025-08-12,462716,678969.2398807262,-216253.2398807262,216253.2398807262,-46.73563046895422,46.73563046895422,N-BEATS_bts_Last30Days
2025-08-13,834844,824952.5380385092,9891.4619614908,9891.4619614908,1.1848275799419772,1.1848275799419772,N-BEATS_bts_Last30Days
2025-08-14,836968,821958.5775922835,15009.422407716513,15009.422407716513,1.7933089924246224,1.7933089924246224,N-BEATS_bts_Last30Days
2025-08-15,915016,908205.3786672575,6810.621332742507,6810.621332742507,0.744317184917259,0.744317184917259,N-BEATS_bts_Last30Days
2025-08-16,628379,572920.3631625082,55458.636837491766,55458.636837491766,8.825666808962707,8.825666808962707,N-BEATS_bts_Last30Days
2025-08-17,519083,476702.06421697425,42380.93578302575,42380.93578302575,8.164577877338644,8.164577877338644,N-BEATS_bts_Last30Days
2025-08-18,837792,756474.6370525543,81317.36294744571,81317.36294744571,9.706151759320418,9.706151759320418,N-BEATS_bts_Last30Days
2025-08-19,834067,883822.7896608834,-49755.78966088337,49755.78966088337,-5.965442783479429,5.965442783479429,N-BEATS_bts_Last30Days
2025-08-20,837374,871105.8669364334,-33731.86693643336,33731.86693643336,-4.0282916518107035,4.0282916518107035,N-BEATS_bts_Last30Days
2025-08-21,842186,910073.2541271278,-67887.25412712782,67887.25412712782,-8.060838594696161,8.060838594696161,N-BEATS_bts_Last30Days
2025-08-22,891594,953014.6046223509,-61420.60462235089,61420.60462235089,-6.888853516550234,6.888853516550234,N-BEATS_bts_Last30Days
2025-08-23,597332,656099.7320605791,-58767.73206057912,58767.73206057912,-9.838369961860257,9.838369961860257,N-BEATS_bts_Last30Days
2025-08-24,500174,517518.22402994573,-17344.224029945733,17344.224029945733,-3.467638067941503,3.467638067941503,N-BEATS_bts_Last30Days
2025-08-25,820040,805645.3819522918,14394.61804770818,14394.61804770818,1.7553555982279132,1.7553555982279132,N-BEATS_bts_Last30Days
2025-08-26,857396,856420.7515649804,975.2484350196319,975.2484350196319,0.11374539128006568,0.11374539128006568,N-BEATS_bts_Last30Days
2025-08-27,834258,914733.5005170788,-80475.50051707879,80475.50051707879,-9.646356464915984,9.646356464915984,N-BEATS_bts_Last30Days
2025-08-28,828878,875319.9529095094,-46441.95290950942,46441.95290950942,-5.602990175817118,5.602990175817118,N-BEATS_bts_Last30Days
2025-08-29,897637,975974.3324154741,-78337.33241547411,78337.33241547411,-8.727061430787069,8.727061430787069,N-BEATS_bts_Last30Days
2025-08-30,630745,654408.5714933306,-23663.571493330644,23663.571493330644,-3.75168594175628,3.75168594175628,N-BEATS_bts_Last30Days
2025-08-31,537471,574410.7222056625,-36939.72220566252,36939.72220566252,-6.872877272571454,6.872877272571454,N-BEATS_bts_Last30Days
2025-09-01,814960,782035.1070249297,32924.89297507028,32924.89297507028,4.0400624539940955,4.0400624539940955,N-BEATS_bts_Last30Days
2025-09-02,831023,844368.6621683124,-13345.662168312352,13345.662168312352,-1.6059317453683413,1.6059317453683413,N-BEATS_bts_Last30Days
2025-09-03,837496,856187.4786281986,-18691.478628198616,18691.478628198616,-2.2318290031473125,2.2318290031473125,N-BEATS_bts_Last30Days
