epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,3,,,14112.6142578125,0.23847649991512299,14963.681640625,0.22643928229808807,14963.681640625
0,,3,17264.7421875,,,,,,
,0.0003,4,,,,,,,
1,,7,,,10726.814453125,0.2108282595872879,13773.955078125,0.17624561488628387,13773.955078125
1,,7,14468.5751953125,,,,,,
,0.0003,8,,,,,,,
2,,9,,13388.220703125,,,,,
2,,11,,,7538.9833984375,0.1299389749765396,8879.14453125,0.12266674637794495,8879.14453125
2,,11,12624.85546875,,,,,,
,0.0003,12,,,,,,,
3,,15,,,5509.1640625,0.09283459931612015,6657.9208984375,0.0896276906132698,6657.9208984375
3,,15,11765.296875,,,,,,
,0.0003,16,,,,,,,
4,,19,,9622.005859375,,,,,
4,,19,,,3631.691162109375,0.06473179906606674,4837.38916015625,0.06656203418970108,4837.38916015625
4,,19,10696.384765625,,,,,,
,0.0003,20,,,,,,,
5,,23,,,3477.266357421875,0.0623089000582695,4412.45556640625,0.06333283334970474,4412.45556640625
5,,23,10263.3876953125,,,,,,
,0.0003,24,,,,,,,
6,,27,,,3729.2724609375,0.06701318174600601,4747.2880859375,0.06908322870731354,4747.2880859375
6,,27,10304.2607421875,,,,,,
,0.0003,28,,,,,,,
7,,29,,9770.8994140625,,,,,
7,,31,,,3496.7666015625,0.06145379692316055,4350.0810546875,0.061320703476667404,4350.0810546875
7,,31,9902.51953125,,,,,,
,0.0003,32,,,,,,,
8,,35,,,3765.215576171875,0.06359706819057465,4474.21533203125,0.06216126307845116,4474.21533203125
8,,35,9891.4619140625,,,,,,
,0.0003,36,,,,,,,
9,,39,,9379.9765625,,,,,
9,,39,,,3991.709228515625,0.06553395837545395,4843.931640625,0.06245715543627739,4843.931640625
9,,39,9844.015625,,,,,,
,0.0003,40,,,,,,,
10,,43,,,4212.2900390625,0.06809656322002411,5188.5576171875,0.06473787873983383,5188.5576171875
10,,43,9173.78515625,,,,,,
,0.0003,44,,,,,,,
11,,47,,,5812.10205078125,0.09085311740636826,7219.43994140625,0.08425147086381912,7219.43994140625
11,,47,9003.689453125,,,,,,
,0.0003,48,,,,,,,
12,,49,,8596.6298828125,,,,,
12,,51,,,5734.44287109375,0.09108508378267288,7164.0263671875,0.08387671411037445,7164.0263671875
12,,51,9029.8828125,,,,,,
,0.00015,52,,,,,,,
13,,55,,,3216.1884765625,0.05449610948562622,4466.6943359375,0.052441008388996124,4466.6943359375
13,,55,9812.9072265625,,,,,,
,0.00015,56,,,,,,,
14,,59,,8339.6484375,,,,,
14,,59,,,4485.123046875,0.07162167131900787,5512.365234375,0.06792667508125305,5512.365234375
14,,59,8598.4365234375,,,,,,
,0.00015,60,,,,,,,
15,,63,,,4772.48974609375,0.07613001018762589,5870.3017578125,0.07134389877319336,5870.3017578125
15,,63,8906.71484375,,,,,,
,0.00015,64,,,,,,,
16,,67,,,3424.332763671875,0.057142309844493866,4504.705078125,0.05489440634846687,4504.705078125
16,,67,8552.625,,,,,,
,0.00015,68,,,,,,,
17,,69,,8815.2109375,,,,,
17,,71,,,5959.03466796875,0.09163213521242142,7305.30126953125,0.08528165519237518,7305.30126953125
17,,71,8757.390625,,,,,,
,0.00015,72,,,,,,,
18,,75,,,4099.32373046875,0.06660312414169312,5039.1220703125,0.06384596228599548,5039.1220703125
18,,75,8956.36328125,,,,,,
,0.00015,76,,,,,,,
19,,79,,7857.12744140625,,,,,
19,,79,,,6059.953125,0.09319501370191574,7429.1865234375,0.08646372705698013,7429.1865234375
19,,79,8858.8349609375,,,,,,
,0.00015,80,,,,,,,
20,,83,,,3885.012939453125,0.06327597796916962,4839.6572265625,0.060648538172245026,4839.6572265625
20,,83,8785.671875,,,,,,
,0.00015,84,,,,,,,
21,,87,,,3326.347900390625,0.05536035820841789,4440.10009765625,0.05328520014882088,4440.10009765625
21,,87,8675.015625,,,,,,
,7.5e-05,88,,,,,,,
22,,89,,8775.3095703125,,,,,
22,,91,,,5218.0625,0.08102785795927048,6414.4296875,0.07584042847156525,6414.4296875
22,,91,8270.392578125,,,,,,
,7.5e-05,92,,,,,,,
23,,95,,,4655.392578125,0.07370061427354813,5674.02783203125,0.07002148777246475,5674.02783203125
23,,95,8351.353515625,,,,,,
,7.5e-05,96,,,,,,,
24,,99,,8876.3837890625,,,,,
24,,99,,,4385.44775390625,0.06988092511892319,5436.68408203125,0.06636007875204086,5436.68408203125
24,,99,8372.4033203125,,,,,,
,7.5e-05,100,,,,,,,
25,,103,,,4633.06884765625,0.07290522009134293,5741.49072265625,0.06888534128665924,5741.49072265625
25,,103,8168.2119140625,,,,,,
,7.5e-05,104,,,,,,,
26,,107,,,4369.85400390625,0.06997935473918915,5385.7021484375,0.0667945072054863,5385.7021484375
26,,107,7719.3203125,,,,,,
,7.5e-05,108,,,,,,,
27,,109,,8382.3876953125,,,,,
27,,111,,,5546.00732421875,0.08520445227622986,6769.669921875,0.07985322177410126,6769.669921875
27,,111,8143.98779296875,,,,,,
