epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0002,0,,,,,,,
0,,4,,,20073.705078125,0.32239264249801636,21850.123046875,0.32903000712394714,21850.123046875
0,,4,22952.6171875,,,,,,
,0.0002,5,,,,,,,
1,,9,,19137.060546875,,,,,
1,,9,,,16668.73828125,0.2743091583251953,18454.15234375,0.2719760239124298,18454.15234375
1,,9,19844.984375,,,,,,
,0.0002,10,,,,,,,
2,,14,,,13846.6259765625,0.23080892860889435,15889.0048828125,0.2251381278038025,15889.0048828125
2,,14,17978.009765625,,,,,,
,0.0002,15,,,,,,,
3,,19,,16201.8466796875,,,,,
3,,19,,,12370.7001953125,0.20622755587100983,14371.2705078125,0.19990749657154083,14371.2705078125
3,,19,16496.546875,,,,,,
,0.0002,20,,,,,,,
4,,24,,,11639.7138671875,0.19332586228847504,13554.4853515625,0.1881265789270401,13554.4853515625
4,,24,15354.091796875,,,,,,
,0.0002,25,,,,,,,
5,,29,,13770.419921875,,,,,
5,,29,,,10319.22265625,0.17394305765628815,12444.9658203125,0.16812542080879211,12444.9658203125
5,,29,14273.916015625,,,,,,
,0.0002,30,,,,,,,
6,,34,,,9067.060546875,0.15551957488059998,11363.708984375,0.14877653121948242,11363.708984375
6,,34,13440.8046875,,,,,,
,0.0002,35,,,,,,,
7,,39,,12517.169921875,,,,,
7,,39,,,8884.6083984375,0.1530444473028183,10743.4345703125,0.14747819304466248,10743.4345703125
7,,39,12962.2392578125,,,,,,
,0.0002,40,,,,,,,
8,,44,,,8856.220703125,0.15113648772239685,10338.986328125,0.1474801003932953,10338.986328125
8,,44,12242.251953125,,,,,,
,0.0002,45,,,,,,,
9,,49,,12249.3388671875,,,,,
9,,49,,,8183.5615234375,0.14063821732997894,9833.35546875,0.13657011091709137,9833.35546875
9,,49,12134.1142578125,,,,,,
,0.0002,50,,,,,,,
10,,54,,,7769.41357421875,0.13350966572761536,9518.0498046875,0.12894859910011292,9518.0498046875
10,,54,12082.279296875,,,,,,
,0.0002,55,,,,,,,
11,,59,,11142.9072265625,,,,,
11,,59,,,6982.44482421875,0.12337758392095566,9073.04296875,0.11657346040010452,9073.04296875
11,,59,11921.908203125,,,,,,
,0.0002,60,,,,,,,
12,,64,,,6780.30029296875,0.12058823555707932,8934.2900390625,0.11293456703424454,8934.2900390625
12,,64,11872.9765625,,,,,,
,0.0002,65,,,,,,,
13,,69,,10310.6279296875,,,,,
13,,69,,,6632.04736328125,0.11813472211360931,8837.359375,0.11010880768299103,8837.359375
13,,69,11894.3369140625,,,,,,
,0.0002,70,,,,,,,
14,,74,,,7017.4228515625,0.12238483130931854,8945.4423828125,0.11572793871164322,8945.4423828125
14,,74,11694.958984375,,,,,,
,0.0002,75,,,,,,,
15,,79,,11358.5595703125,,,,,
15,,79,,,5574.99560546875,0.10430049151182175,8479.921875,0.09457716345787048,8479.921875
15,,79,11927.8349609375,,,,,,
,0.0002,80,,,,,,,
16,,84,,,5192.2578125,0.0986139103770256,8382.779296875,0.0881524458527565,8382.779296875
16,,84,11972.529296875,,,,,,
,0.0002,85,,,,,,,
17,,89,,12672.98828125,,,,,
17,,89,,,5102.57763671875,0.0968916118144989,8308.5263671875,0.08625759929418564,8308.5263671875
17,,89,11647.1025390625,,,,,,
,0.0002,90,,,,,,,
18,,94,,,4337.68505859375,0.08752080798149109,8270.5673828125,0.07488884776830673,8270.5673828125
18,,94,11440.826171875,,,,,,
,0.0002,95,,,,,,,
19,,99,,11593.5634765625,,,,,
19,,99,,,4380.2060546875,0.08848457038402557,8352.525390625,0.07545464485883713,8352.525390625
19,,99,11465.6689453125,,,,,,
,0.0002,100,,,,,,,
20,,104,,,4492.6259765625,0.09054601937532425,8537.0927734375,0.07647423446178436,8537.0927734375
20,,104,11282.8427734375,,,,,,
,0.0002,105,,,,,,,
21,,109,,12077.7314453125,,,,,
21,,109,,,4797.3017578125,0.0952460840344429,8823.228515625,0.08002416044473648,8823.228515625
21,,109,11320.9375,,,,,,
,0.0002,110,,,,,,,
22,,114,,,5034.5673828125,0.09891333431005478,8992.7353515625,0.08335605263710022,8992.7353515625
22,,114,10905.1240234375,,,,,,
,0.0002,115,,,,,,,
23,,119,,9446.5009765625,,,,,
23,,119,,,5532.26025390625,0.10656031966209412,9484.1904296875,0.08968208730220795,9484.1904296875
23,,119,10772.615234375,,,,,,
