epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,4,,,19193.44140625,0.2755315601825714,22707.23046875,0.3201918601989746,19193.44140625
0,,4,14648.5966796875,,,,,,
,0.0003,5,,,,,,,
1,,9,,14296.1962890625,,,,,
1,,9,,,18832.716796875,0.2730136513710022,21708.64453125,0.31117889285087585,18832.716796875
1,,9,14260.2705078125,,,,,,
,0.0003,10,,,,,,,
2,,14,,,18700.7578125,0.2708764374256134,21052.275390625,0.30598896741867065,18700.7578125
2,,14,13792.2919921875,,,,,,
,0.0003,15,,,,,,,
3,,19,,12952.6376953125,,,,,
3,,19,,,16036.0,0.2339736968278885,18301.25,0.2578577995300293,16036.0
3,,19,13375.9375,,,,,,
,0.0003,20,,,,,,,
4,,24,,,14791.185546875,0.21964313089847565,16487.150390625,0.23601089417934418,14791.185546875
4,,24,13190.8984375,,,,,,
,0.0003,25,,,,,,,
5,,29,,12618.375,,,,,
5,,29,,,14570.2001953125,0.21979166567325592,15746.921875,0.2325594127178192,14570.2001953125
5,,29,12780.142578125,,,,,,
,0.0003,30,,,,,,,
6,,34,,,15327.380859375,0.23390015959739685,16197.2744140625,0.24533745646476746,15327.380859375
6,,34,12628.498046875,,,,,,
,0.0003,35,,,,,,,
7,,39,,12701.68359375,,,,,
7,,39,,,15194.59765625,0.23368263244628906,15994.841796875,0.24333976209163666,15194.59765625
7,,39,12382.2529296875,,,,,,
,0.0003,40,,,,,,,
8,,44,,,14704.787109375,0.22958455979824066,15396.6484375,0.2355131208896637,14704.787109375
8,,44,12044.611328125,,,,,,
,0.0003,45,,,,,,,
9,,49,,12221.908203125,,,,,
9,,49,,,14240.8857421875,0.2257177084684372,14853.43359375,0.22815421223640442,14240.8857421875
9,,49,11993.2158203125,,,,,,
,0.0003,50,,,,,,,
10,,54,,,13963.2724609375,0.22209620475769043,14605.2548828125,0.22368374466896057,13963.2724609375
10,,54,11746.6181640625,,,,,,
,0.0003,55,,,,,,,
11,,59,,11352.9931640625,,,,,
11,,59,,,13594.169921875,0.21643956005573273,14331.4833984375,0.21762202680110931,13594.169921875
11,,59,11626.568359375,,,,,,
,0.0003,60,,,,,,,
12,,64,,,12977.3310546875,0.2073877900838852,13903.7138671875,0.2073957920074463,12977.3310546875
12,,64,11655.3232421875,,,,,,
,0.0003,65,,,,,,,
13,,69,,11548.8896484375,,,,,
13,,69,,,12452.685546875,0.19958050549030304,13586.31640625,0.19860032200813293,12452.685546875
13,,69,11393.064453125,,,,,,
,0.0003,70,,,,,,,
14,,74,,,12272.2802734375,0.1980615258216858,13427.998046875,0.19597698748111725,12272.2802734375
14,,74,11203.8251953125,,,,,,
,0.0003,75,,,,,,,
15,,79,,11106.6279296875,,,,,
15,,79,,,12378.4462890625,0.20116397738456726,13421.798828125,0.19853158295154572,12378.4462890625
15,,79,10894.2724609375,,,,,,
,0.0003,80,,,,,,,
16,,84,,,12296.1572265625,0.20162919163703918,13296.314453125,0.19793906807899475,12296.1572265625
16,,84,10813.4619140625,,,,,,
,0.0003,85,,,,,,,
17,,89,,9711.919921875,,,,,
17,,89,,,12252.2353515625,0.2019205540418625,13231.291015625,0.19785842299461365,12252.2353515625
17,,89,10579.765625,,,,,,
,0.0003,90,,,,,,,
18,,94,,,12120.470703125,0.20074518024921417,13119.466796875,0.1963123232126236,12120.470703125
18,,94,10537.369140625,,,,,,
,0.0003,95,,,,,,,
19,,99,,10337.099609375,,,,,
19,,99,,,11947.2705078125,0.19859448075294495,13009.12890625,0.1940242499113083,11947.2705078125
19,,99,10398.0439453125,,,,,,
,0.0003,100,,,,,,,
20,,104,,,11783.6044921875,0.1958460956811905,12929.408203125,0.19164153933525085,11783.6044921875
20,,104,10281.16015625,,,,,,
,0.0003,105,,,,,,,
21,,109,,10097.314453125,,,,,
21,,109,,,11696.0517578125,0.19342778623104095,12917.4267578125,0.1901790052652359,11696.0517578125
21,,109,10148.6484375,,,,,,
,0.0003,110,,,,,,,
22,,114,,,11501.2412109375,0.18944594264030457,12825.1171875,0.1867586076259613,11501.2412109375
