epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,66388.5546875,,,,,
0,,19,,60494.58203125,,,,,
0,,28,,,66411.2109375,0.2026297003030777,91155.65625,0.16651608049869537,66411.2109375
0,,28,70900.578125,,,,,,
,0.0003,29,,,,,,,
1,,29,,53230.44140625,,,,,
1,,39,,43529.19921875,,,,,
1,,49,,40950.83984375,,,,,
1,,57,,,32171.662109375,0.10235272347927094,64346.671875,0.08237571269273758,32171.662109375
1,,57,47163.83203125,,,,,,
,0.0003,58,,,,,,,
2,,59,,39907.7578125,,,,,
2,,69,,35848.0234375,,,,,
2,,79,,35817.140625,,,,,
2,,86,,,37233.6171875,0.10056012123823166,60942.25390625,0.08695783466100693,37233.6171875
2,,86,38156.265625,,,,,,
,0.0003,87,,,,,,,
3,,89,,37872.6484375,,,,,
3,,99,,36192.44140625,,,,,
3,,109,,30648.240234375,,,,,
3,,115,,,54661.16015625,0.1357349008321762,69950.109375,0.12816005945205688,54661.16015625
3,,115,34400.8046875,,,,,,
,0.0003,116,,,,,,,
4,,119,,34147.14453125,,,,,
4,,129,,33466.078125,,,,,
4,,139,,36319.66015625,,,,,
4,,144,,,25499.384765625,0.0803675502538681,56903.98046875,0.06434928625822067,25499.384765625
4,,144,32200.296875,,,,,,
,0.0003,145,,,,,,,
5,,149,,30568.37890625,,,,,
5,,159,,33063.6484375,,,,,
5,,169,,29888.0625,,,,,
5,,173,,,31103.19921875,0.08697541803121567,53557.27734375,0.07510600239038467,31103.19921875
5,,173,30310.1484375,,,,,,
,0.0003,174,,,,,,,
6,,179,,27158.1953125,,,,,
6,,189,,27302.486328125,,,,,
6,,199,,26068.474609375,,,,,
6,,202,,,27954.84375,0.07871996611356735,49112.20703125,0.06823587417602539,27954.84375
6,,202,28408.896484375,,,,,,
,0.0003,203,,,,,,,
7,,209,,25362.033203125,,,,,
7,,219,,25674.544921875,,,,,
7,,229,,24671.68359375,,,,,
7,,231,,,27030.513671875,0.07341722398996353,44704.2890625,0.06590329110622406,27030.513671875
7,,231,26393.833984375,,,,,,
,0.0003,232,,,,,,,
8,,239,,23171.6796875,,,,,
8,,249,,23711.38671875,,,,,
8,,259,,25693.53125,,,,,
8,,260,,,17613.93359375,0.0524824820458889,38154.53125,0.044872164726257324,17613.93359375
8,,260,24804.7890625,,,,,,
,0.0003,261,,,,,,,
9,,269,,21815.55859375,,,,,
9,,279,,23345.970703125,,,,,
9,,289,,20693.6796875,,,,,
9,,289,,,26553.396484375,0.06644949316978455,33315.17578125,0.06502201408147812,26553.396484375
9,,289,23022.248046875,,,,,,
,0.0003,290,,,,,,,
10,,299,,23629.892578125,,,,,
10,,309,,23172.8515625,,,,,
10,,318,,,19322.892578125,0.05150539055466652,27236.201171875,0.049217384308576584,19322.892578125
10,,318,22340.33984375,,,,,,
,0.0003,319,,,,,,,
11,,319,,18085.158203125,,,,,
11,,329,,22908.658203125,,,,,
11,,339,,22598.533203125,,,,,
11,,347,,,27579.333984375,0.0656854435801506,30599.478515625,0.06668805330991745,27579.333984375
11,,347,21266.75390625,,,,,,
,0.0003,348,,,,,,,
12,,349,,22659.470703125,,,,,
12,,359,,18838.419921875,,,,,
12,,369,,18571.58203125,,,,,
12,,376,,,15169.4912109375,0.040688253939151764,22221.396484375,0.03888007253408432,15169.4912109375
12,,376,20396.041015625,,,,,,
,0.0003,377,,,,,,,
13,,379,,19977.1015625,,,,,
13,,389,,18807.255859375,,,,,
13,,399,,21251.4375,,,,,
13,,405,,,10969.5927734375,0.03157876804471016,17549.66796875,0.029935095459222794,10969.5927734375
13,,405,20077.359375,,,,,,
,0.0003,406,,,,,,,
14,,409,,21533.837890625,,,,,
14,,419,,20469.333984375,,,,,
14,,429,,19275.974609375,,,,,
14,,434,,,25470.416015625,0.06063539907336235,28769.740234375,0.06106865406036377,25470.416015625
14,,434,19611.1953125,,,,,,
,0.0003,435,,,,,,,
15,,439,,18148.580078125,,,,,
15,,449,,15685.5693359375,,,,,
15,,459,,18592.521484375,,,,,
15,,463,,,22514.56640625,0.0534406378865242,25183.001953125,0.05427185073494911,22514.56640625
15,,463,18844.66015625,,,,,,
,0.0003,464,,,,,,,
16,,469,,18018.220703125,,,,,
16,,479,,18875.521484375,,,,,
16,,489,,16821.955078125,,,,,
16,,492,,,22364.5546875,0.05287136882543564,24715.7734375,0.05392356589436531,22364.5546875
16,,492,18202.267578125,,,,,,
,0.0003,493,,,,,,,
17,,499,,18842.916015625,,,,,
17,,509,,17436.728515625,,,,,
17,,519,,18005.25390625,,,,,
17,,521,,,17416.15625,0.042476408183574677,20836.92578125,0.04254527762532234,17416.15625
17,,521,17751.755859375,,,,,,
,0.0003,522,,,,,,,
18,,529,,16970.701171875,,,,,
18,,539,,15743.572265625,,,,,
18,,549,,19161.5390625,,,,,
