epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,11394.7412109375,,,,,
0,,19,,8891.923828125,,,,,
0,,27,,,6497.7919921875,0.11046948283910751,8856.78515625,0.10221810638904572,6497.7919921875
0,,27,10616.9248046875,,,,,,
,0.0003,28,,,,,,,
1,,29,,8537.0419921875,,,,,
1,,39,,7494.6552734375,,,,,
1,,49,,6278.49169921875,,,,,
1,,55,,,4883.96240234375,0.08203509449958801,7554.3544921875,0.07613389939069748,4883.96240234375
1,,55,6977.53466796875,,,,,,
,0.0003,56,,,,,,,
2,,59,,5922.080078125,,,,,
2,,69,,5612.21337890625,,,,,
2,,79,,5716.591796875,,,,,
2,,83,,,4865.13134765625,0.08217404782772064,7552.06103515625,0.07510825246572495,4865.13134765625
2,,83,5763.4140625,,,,,,
,0.0003,84,,,,,,,
3,,89,,5335.80224609375,,,,,
3,,99,,4947.22216796875,,,,,
3,,109,,4877.7939453125,,,,,
3,,111,,,4430.291015625,0.07684459537267685,7569.490234375,0.06900670379400253,4430.291015625
3,,111,5028.85693359375,,,,,,
,0.0003,112,,,,,,,
4,,119,,4936.0654296875,,,,,
4,,129,,4663.1259765625,,,,,
4,,139,,4481.39208984375,,,,,
4,,139,,,4911.84423828125,0.08199123293161392,7440.244140625,0.07553470134735107,4911.84423828125
4,,139,4837.8935546875,,,,,,
,0.0003,140,,,,,,,
5,,149,,4662.142578125,,,,,
5,,159,,4541.85400390625,,,,,
5,,167,,,4012.43798828125,0.07072031497955322,7274.76904296875,0.06316590309143066,4012.43798828125
5,,167,4493.04443359375,,,,,,
,0.0003,168,,,,,,,
6,,169,,3801.9755859375,,,,,
6,,179,,4872.94775390625,,,,,
6,,189,,4283.55419921875,,,,,
6,,195,,,4447.32177734375,0.07527731359004974,7124.5048828125,0.06903073936700821,4447.32177734375
6,,195,4346.32763671875,,,,,,
,0.0003,196,,,,,,,
7,,199,,4354.626953125,,,,,
7,,209,,4821.6025390625,,,,,
7,,219,,4332.8271484375,,,,,
7,,223,,,4779.37353515625,0.07808750122785568,6892.01416015625,0.07352544367313385,4779.37353515625
7,,223,4215.25244140625,,,,,,
,0.0003,224,,,,,,,
8,,229,,4411.9990234375,,,,,
8,,239,,3951.86572265625,,,,,
8,,249,,3887.601806640625,,,,,
8,,251,,,5629.6552734375,0.08652845770120621,7154.58154296875,0.0849381610751152,5629.6552734375
8,,251,4021.253173828125,,,,,,
,0.0003,252,,,,,,,
9,,259,,4128.4599609375,,,,,
9,,269,,3799.841552734375,,,,,
9,,279,,3634.90625,,,,,
9,,279,,,4579.36962890625,0.07270573824644089,6466.29248046875,0.07008175551891327,4579.36962890625
9,,279,3915.27099609375,,,,,,
,0.0003,280,,,,,,,
10,,289,,4012.408447265625,,,,,
10,,299,,3906.322998046875,,,,,
10,,307,,,4781.3291015625,0.07568231225013733,6446.45166015625,0.07308682054281235,4781.3291015625
10,,307,3754.943359375,,,,,,
,0.00015,308,,,,,,,
11,,309,,3699.863525390625,,,,,
11,,319,,3448.70947265625,,,,,
11,,329,,3290.611572265625,,,,,
11,,335,,,4364.77294921875,0.0693640410900116,6114.01513671875,0.06682638823986053,4364.77294921875
11,,335,3571.154296875,,,,,,
,0.00015,336,,,,,,,
12,,339,,3247.6806640625,,,,,
12,,349,,3583.6005859375,,,,,
12,,359,,3193.61669921875,,,,,
12,,363,,,3854.219482421875,0.06337038427591324,5892.806640625,0.05974306911230087,3854.219482421875
12,,363,3452.37646484375,,,,,,
,0.00015,364,,,,,,,
13,,369,,3304.86767578125,,,,,
13,,379,,3423.42822265625,,,,,
13,,389,,3805.417724609375,,,,,
13,,391,,,4105.3359375,0.06612401455640793,5902.6904296875,0.06309859454631805,4105.3359375
13,,391,3384.66064453125,,,,,,
,0.00015,392,,,,,,,
14,,399,,3404.48828125,,,,,
14,,409,,3575.27099609375,,,,,
14,,419,,3485.118408203125,,,,,
14,,419,,,3769.19580078125,0.061483584344387054,5768.10205078125,0.05835241824388504,3769.19580078125
14,,419,3349.994873046875,,,,,,
,0.00015,420,,,,,,,
15,,429,,3386.109130859375,,,,,
