วันที่,day_name,day_type,is_holiday,holiday_subject,รถไฟฟ้า ARL,รถไฟฟ้า BTS,รถไฟฟ้าสายสีชมพู,รถไฟฟ้าสายสีน้ำเงิน,รถไฟฟ้าสายสีม่วง,รถไฟฟ้าสายสีเหลือง,รถไฟฟ้าสายสีแดง,rain_average,day_of_week,is_weekend,month,rain
2020-02-20,วันพหัสบดี,1,normal,normal,70699.0,816100.0,,403491.0,49447.0,,,0.0,3,0,2,0
2020-02-21,วันศุกร์,1,normal,normal,75307.0,862200.0,,417255.0,51616.0,,,0.0,4,0,2,0
2020-02-22,วันเสาร์,0,normal,normal,51213.0,561900.0,,259431.0,31904.0,,,0.0,5,1,2,0
2020-02-23,วันอาทิตย์,0,normal,normal,43833.0,461200.0,,202282.0,24839.0,,,0.0,6,1,2,0
2020-02-24,วันจันทร์,1,normal,normal,69091.0,780200.0,,380686.0,49089.0,,,0.0,0,0,2,0
2020-02-25,วันอังคาร,1,normal,normal,67954.0,793600.0,,382353.0,49350.0,,,0.0222222222222222,1,0,2,0
2020-02-26,วันพุธ,1,normal,normal,67225.0,783500.0,,378658.0,48133.0,,,0.0,2,0,2,0
2020-02-27,วันพหัสบดี,1,normal,normal,66689.0,768900.0,,367496.0,47207.0,,,0.1555555555555555,3,0,2,0
2020-02-28,วันศุกร์,1,normal,normal,71026.0,827000.0,,393497.0,48288.0,,,1.0444444444444445,4,0,2,0
2020-02-29,วันเสาร์,0,normal,normal,45447.0,520900.0,,232369.0,29452.0,,,0.0,5,1,2,0
2020-03-01,วันอาทิตย์,0,normal,normal,42549.0,427000.0,,183140.0,22269.0,,,0.0,6,1,3,0
2020-03-02,วันจันทร์,1,normal,normal,64400.0,743000.0,,361736.0,45914.0,,,0.0,0,0,3,0
2020-03-03,วันอังคาร,1,normal,normal,63037.0,745000.0,,372844.0,45918.0,,,0.0,1,0,3,0
2020-03-04,วันพุธ,1,normal,normal,62093.0,738000.0,,364674.0,45501.0,,,0.0,2,0,3,0
2020-03-05,วันพหัสบดี,1,normal,normal,64741.0,744000.0,,361229.0,44819.0,,,0.0666666666666666,3,0,3,0
2020-03-06,วันศุกร์,1,normal,normal,65964.0,777000.0,,371369.0,47226.0,,,0.0,4,0,3,0
2020-03-07,วันเสาร์,0,normal,normal,43805.0,472000.0,,210564.0,26802.0,,,0.0,5,1,3,0
