วันที่,day_type,holiday_subject,รถไฟฟ้า ARL,รถไฟฟ้า BTS,รถไฟฟ้าสายสีชมพู,รถไฟฟ้าสายสีน้ำเงิน,รถไฟฟ้าสายสีม่วง,รถไฟฟ้าสายสีเหลือง,รถไฟฟ้าสายสีแดง,rain_average,dow
2020-03-16,1,normal,51831,588000,not available,296128,39423,not available,not available,0.0,0
2020-03-17,1,normal,47839,557000,not available,280304,37592,not available,not available,0.0,1
2020-03-18,1,normal,44180,510000,not available,261462,35225,not available,not available,0.0,2
2020-03-19,1,normal,41765,476000,not available,241479,33092,not available,not available,0.0,3
2020-03-20,1,normal,41006,461000,not available,233143,32212,not available,not available,0.0,4
2020-03-21,0,normal,21144,221000,not available,99342,14364,not available,not available,0.0,5
2020-03-22,0,normal,14347,119000,not available,52123,8269,not available,not available,0.0,6
2020-03-23,1,normal,29655,317000,not available,163561,23568,not available,not available,0.0,0
2020-03-24,1,normal,25153,272000,not available,140591,20781,not available,not available,0.0,1
2020-03-25,1,normal,23788,255000,not available,141478,26216,not available,not available,0.0,2
2020-03-26,1,normal,20113,217400,not available,110364,15750,not available,not available,0.0,3
2020-03-27,1,normal,19588,210500,not available,105158,14843,not available,not available,0.0,4
2020-03-28,0,normal,9854,89600,not available,41266,6502,not available,not available,0.0,5
2020-03-29,0,normal,9436,62500,not available,28069,4228,not available,not available,0.0,6
2020-03-30,1,normal,18255,202000,not available,99882,14182,not available,not available,0.0,0
2020-03-31,1,normal,17757,197000,not available,98342,13926,not available,not available,0.0,1
2020-04-01,1,normal,16626,189500,not available,94105,13472,not available,not available,0.0,2
2020-04-02,1,normal,15554,175500,not available,87539,12780,not available,not available,0.0,3
2020-04-03,1,normal,15419,176500,not available,87026,12931,not available,not available,0.0,4
2020-04-04,0,normal,7393,79900,not available,35134,6118,not available,not available,0.0,5
2020-04-05,0,normal,5430,57300,not available,24355,4137,not available,not available,0.0,6
2020-04-06,0,วันจักรี,7344,78400,not available,31235,5564,not available,not available,0.0,0
2020-04-07,1,normal,15516,178700,not available,89515,13179,not available,not available,0.0,1
2020-04-08,1,normal,14655,167100,not available,83999,12569,not available,not available,0.0,2
2020-04-09,1,normal,14160,164600,not available,81883,12451,not available,not available,0.0,3
2020-04-10,1,normal,14169,167500,not available,83856,12790,not available,not available,0.0,4
2020-04-11,0,normal,6920,76800,not available,34851,6080,not available,not available,0.3777777777777778,5
2020-04-12,0,normal,5182,56100,not available,23966,4263,not available,not available,0.0,6
