วันที่,day_type,holiday_subject,รถไฟฟ้า ARL,รถไฟฟ้า BTS,รถไฟฟ้าสายสีชมพู,รถไฟฟ้าสายสีน้ำเงิน,รถไฟฟ้าสายสีม่วง,รถไฟฟ้าสายสีเหลือง,รถไฟฟ้าสายสีแดง,rain_average,dow
2021-03-11,1,normal,39461,584792,not available,284369,39461,not available,not available,0.0,3
2021-03-12,1,normal,47611,618456,not available,292856,41248,not available,not available,0.2888888888888889,4
2021-03-13,0,normal,30258,410743,not available,182202,24597,not available,not available,0.0,5
2021-03-14,0,normal,26125,326242,not available,138595,18998,not available,not available,0.4,6
2021-03-15,1,normal,45129,574261,not available,275465,40129,not available,not available,0.0,0
2021-03-16,1,normal,44484,583634,not available,279230,39908,not available,not available,0.0,1
2021-03-17,1,normal,44748,589971,not available,279078,39994,not available,not available,0.0,2
2021-03-18,1,normal,45352,588445,not available,279012,39654,not available,not available,0.0,3
2021-03-19,1,normal,48507,617638,not available,287713,40583,not available,not available,0.0,4
2021-03-20,0,normal,31707,419946,not available,179384,24270,not available,not available,0.0,5
2021-03-21,0,normal,26642,328719,not available,135234,18975,not available,not available,0.1555555555555555,6
2021-03-22,1,normal,45645,570444,not available,272710,38554,not available,not available,6.622222222222224,0
2021-03-23,1,normal,45667,593405,not available,276438,38820,not available,not available,0.0,1
2021-03-24,1,normal,46271,601950,not available,276287,38869,not available,not available,0.0,2
2021-03-25,1,normal,47378,599846,not available,285468,39898,not available,not available,0.0,3
2021-03-26,1,normal,50886,647765,not available,299620,40753,not available,not available,0.0,4
2021-03-27,0,normal,32911,446749,not available,180992,25449,not available,not available,0.0,5
2021-03-28,0,normal,29172,351613,not available,139274,19955,not available,not available,0.0,6
2021-03-29,1,normal,47970,600696,not available,274753,38364,not available,not available,0.0,0
2021-03-30,1,normal,47443,603155,not available,281649,38997,not available,not available,0.0,1
2021-03-31,1,normal,47597,623032,not available,291913,39686,not available,not available,0.6888888888888889,2
2021-04-01,1,normal,48177,622289,not available,288490,39300,not available,not available,0.0,3
2021-04-02,1,normal,51283,666970,not available,302463,41752,not available,not available,0.0,4
2021-04-03,0,normal,33839,437272,not available,184727,25102,not available,not available,0.7777777777777777,5
2021-04-04,0,normal,28960,311726,not available,136916,19030,not available,not available,9.155555555555557,6
2021-04-05,1,normal,47828,585224,not available,269464,37669,not available,not available,0.2444444444444444,0
2021-04-06,0,วันจักรี,29957,345577,not available,151004,20383,not available,not available,4.355555555555556,1
2021-04-07,1,normal,45385,551114,not available,257749,36495,not available,not available,2.888888888888889,2
2021-04-08,1,normal,42249,487182,not available,226318,32259,not available,not available,0.1111111111111111,3
2021-04-09,1,normal,38883,460112,not available,211383,30825,not available,not available,0.8888888888888888,4
2021-04-10,0,normal,20625,247013,not available,101981,14408,not available,not available,3.733333333333333,5
2021-04-11,0,normal,14759,172952,not available,68523,9877,not available,not available,11.044444444444444,6
2021-04-12,0,สงกรานต์,19279,226598,not available,101343,13741,not available,not available,6.044444444444443,0
2021-04-13,0,สงกรานต์,11418,141556,not available,50783,7341,not available,not available,0.0222222222222222,1
2021-04-14,0,สงกรานต์,11239,136764,not available,48603,7008,not available,not available,0.8222222222222223,2
2021-04-15,0,สงกรานต์,12903,144507,not available,51672,7498,not available,not available,0.8666666666666667,3
2021-04-16,1,normal,19821,246320,not available,110551,16907,not available,not available,1.4888888888888887,4
2021-04-17,0,normal,14419,177834,not available,74162,11022,not available,not available,7.044444444444445,5
2021-04-18,0,normal,13653,153237,not available,59303,8986,not available,not available,13.2,6
2021-04-19,1,normal,24464,308504,not available,142554,21083,not available,not available,1.4888888888888892,0
2021-04-20,1,normal,22320,291060,not available,134190,19821,not available,not available,5.311111111111111,1
2021-04-21,1,normal,21290,284643,not available,130696,19243,not available,not available,1.2,2
2021-04-22,1,normal,21121,280759,not available,128863,18939,not available,not available,0.0,3
2021-04-23,1,normal,20848,285767,not available,130640,19133,not available,not available,6.022222222222222,4
2021-04-24,0,normal,12478,178578,not available,73913,10638,not available,not available,2.466666666666667,5
2021-04-25,0,normal,9506,138523,not available,53961,7515,not available,not available,1.5555555555555556,6
2021-04-26,1,normal,18857,251146,not available,115290,17292,not available,not available,2.7333333333333334,0
2021-04-27,1,normal,17474,236252,not available,107938,16003,not available,not available,24.73333333333333,1
2021-04-28,1,normal,17569,237715,not available,109221,16110,not available,not available,4.155555555555555,2
2021-04-29,1,normal,17594,237434,not available,106823,15667,not available,not available,7.577777777777779,3
2021-04-30,1,normal,18737,256773,not available,114977,16955,not available,not available,6.466666666666667,4
2021-05-01,0,วันแรงงาน (เอกชน),8920,124804,not available,49491,7488,not available,not available,1.488888888888889,5
2021-05-02,0,normal,7786,109625,not available,42105,6355,not available,not available,1.4666666666666666,6
2021-05-03,1,normal,10652,148244,not available,57721,10345,not available,not available,6.6,0
2021-05-04,0,วันฉัตรมงคล,10092,135974,not available,54115,8035,not available,not available,5.911111111111111,1
2021-05-05,1,normal,21772,235095,not available,107302,16145,not available,not available,4.0888888888888895,2
2021-05-06,1,normal,15995,215873,not available,97750,12923,not available,not available,11.822222222222225,3
2021-05-07,1,normal,16684,224454,not available,100410,13580,not available,not available,0.1111111111111111,4
2021-05-08,0,normal,9231,133330,not available,52552,7243,not available,not available,8.4,5
2021-05-09,0,normal,7206,104513,not available,39235,5358,not available,not available,0.3555555555555555,6
2021-05-10,0,"วันพืชมงคล (ราชการ) , วันหยุดราชการ (ภาคอีสาน)",15203,202348,not available,93954,11138,not available,not available,0.0,0
2021-05-11,1,normal,16367,220034,not available,99700,13382,not available,not available,6.2444444444444445,1
2021-05-12,1,normal,15953,217925,not available,98494,13256,not available,not available,5.444444444444445,2
2021-05-13,1,normal,15699,212322,not available,96740,12613,not available,not available,3.2,3
2021-05-14,1,normal,16429,219999,not available,100001,13239,not available,not available,0.0,4
2021-05-15,0,normal,9502,132424,not available,53523,7212,not available,not available,3.5333333333333337,5
2021-05-16,0,normal,7534,107870,not available,40766,5523,not available,not available,0.0888888888888888,6
2021-05-17,1,normal,16891,231694,not available,105635,14280,not available,not available,0.0,0
2021-05-18,1,normal,16401,225047,not available,102602,15451,not available,not available,1.8444444444444448,1
2021-05-19,1,normal,16993,228487,not available,103945,15685,not available,not available,24.08888888888889,2
2021-05-20,1,normal,16741,227333,not available,103266,15706,not available,not available,0.0888888888888888,3
2021-05-21,1,normal,17391,236832,not available,106045,16276,not available,not available,0.4,4
2021-05-22,0,normal,9979,149337,not available,59922,9231,not available,not available,0.3777777777777777,5
2021-05-23,0,normal,8050,119141,not available,45565,7146,not available,not available,0.0666666666666666,6
2021-05-24,1,normal,17871,244222,not available,111047,16877,not available,not available,0.3555555555555555,0
2021-05-25,1,normal,17946,247384,not available,112456,17006,not available,not available,0.0444444444444444,1
2021-05-26,0,วันวิสาขบูชา,9778,142435,not available,59215,8496,not available,not available,0.0666666666666666,2
2021-05-27,1,normal,18176,247355,not available,114360,17300,not available,not available,6.644444444444444,3
2021-05-28,1,normal,18653,255253,not available,116552,17461,not available,not available,9.88888888888889,4
2021-05-29,0,normal,11115,167144,not available,68859,10580,not available,not available,9.555555555555555,5
2021-05-30,0,normal,9519,146477,not available,54256,8072,not available,not available,0.1111111111111111,6
2021-05-31,1,normal,19365,271048,not available,123742,18353,not available,not available,0.0,0
2021-06-01,1,normal,20043,270018,not available,124876,18152,not available,not available,0.0,1
2021-06-02,1,normal,19547,269893,not available,125064,18333,not available,not available,0.0222222222222222,2
2021-06-03,0,วันอัฏฐมีบูชา วันเฉลิมฯ พระบรมราชินี,10955,158937,not available,59682,9545,not available,not available,0.0,3
2021-06-04,1,normal,20390,270443,not available,122639,18335,not available,not available,1.8444444444444448,4
2021-06-05,0,normal,11965,174305,not available,72551,11282,not available,not available,1.422222222222222,5
2021-06-06,0,normal,9967,141718,not available,57067,8878,not available,not available,0.7333333333333334,6
2021-06-07,1,normal,19941,272071,not available,124865,18853,not available,not available,0.0,0
2021-06-08,1,normal,19273,261675,not available,121458,17967,not available,not available,5.044444444444445,1
2021-06-09,1,normal,19370,264390,not available,120289,17979,not available,not available,4.422222222222222,2
2021-06-10,1,normal,19084,266106,not available,120004,18428,not available,not available,0.0,3
2021-06-11,1,normal,20678,273755,not available,124758,18840,not available,not available,0.8000000000000002,4
2021-06-12,0,normal,12428,181747,not available,77490,11861,not available,not available,1.5111111111111113,5
2021-06-13,0,normal,10452,145346,not available,59375,9399,not available,not available,14.155555555555557,6
2021-06-14,1,normal,20686,282793,not available,127129,19299,not available,not available,0.0,0
2021-06-15,1,normal,20811,280635,not available,129585,19121,not available,not available,0.4444444444444444,1
2021-06-16,1,normal,20860,281291,not available,129384,19282,not available,not available,0.5777777777777778,2
2021-06-17,1,normal,20494,283617,not available,129757,19318,not available,not available,0.0666666666666666,3
2021-06-18,1,normal,22138,296393,not available,135466,20256,not available,not available,0.0,4
2021-06-19,0,normal,14020,204890,not available,87548,13142,not available,not available,5.311111111111112,5
2021-06-20,0,normal,12228,166955,not available,60567,9979,not available,not available,5.644444444444445,6
2021-06-21,1,normal,21791,293454,not available,135923,20335,not available,not available,2.1333333333333333,0
2021-06-22,1,normal,21316,287903,not available,132298,19876,not available,not available,0.0222222222222222,1
2021-06-23,1,normal,21293,288652,not available,133324,19707,not available,not available,2.6444444444444444,2
2021-06-24,1,normal,20971,289868,not available,133542,19698,not available,not available,0.0666666666666666,3
2021-06-25,1,normal,23227,291311,not available,136962,20428,not available,not available,5.911111111111111,4
2021-06-26,0,normal,14237,203426,not available,85953,13145,not available,not available,0.0444444444444444,5
2021-06-27,0,normal,12152,164494,not available,65759,10063,not available,not available,8.666666666666666,6
2021-06-28,1,normal,20936,274056,not available,126465,19361,not available,not available,8.088888888888889,0
2021-06-29,1,normal,20310,265737,not available,123378,18724,not available,not available,12.733333333333333,1
2021-06-30,1,normal,21029,278342,not available,128527,19251,not available,not available,2.0222222222222226,2
2021-07-01,1,normal,20104,268501,not available,124593,18811,not available,not available,12.155555555555557,3
2021-07-02,1,normal,20289,268972,not available,121726,19195,not available,not available,7.822222222222223,4
2021-07-03,0,normal,11802,171921,not available,71724,11426,not available,not available,0.0,5
2021-07-04,0,normal,9548,133602,not available,54263,8937,not available,not available,0.0,6
2021-07-05,1,normal,20189,259497,not available,118927,18679,not available,not available,0.2666666666666666,0
2021-07-06,1,normal,17236,244719,not available,113635,17463,not available,not available,4.911111111111111,1
2021-07-07,1,normal,16945,245144,not available,113448,17515,not available,not available,0.4888888888888889,2
2021-07-08,1,normal,16940,235072,not available,108328,16722,not available,not available,6.0888888888888895,3
2021-07-09,1,normal,17469,233005,not available,107634,16350,not available,not available,6.466666666666667,4
2021-07-10,0,normal,9456,135215,not available,55402,8856,not available,not available,26.62222222222222,5
2021-07-11,0,normal,7335,106402,not available,42330,6525,not available,not available,8.600000000000001,6
2021-07-12,1,normal,13726,182431,not available,83950,13615,not available,not available,0.0444444444444444,0
2021-07-13,1,normal,12541,162826,not available,77938,12739,not available,not available,7.733333333333334,1
2021-07-14,1,normal,11908,166323,not available,76571,12574,not available,not available,15.22222222222222,2
2021-07-15,1,normal,11898,171549,not available,78009,12653,not available,not available,0.9111111111111112,3
2021-07-16,1,normal,12385,171352,not available,77984,12740,not available,not available,0.0,4
2021-07-17,0,normal,6926,102552,not available,42568,7131,not available,not available,12.577777777777778,5
2021-07-18,0,normal,5604,80602,not available,32099,5257,not available,not available,0.6666666666666667,6
2021-07-19,1,normal,12653,173170,not available,78219,12484,not available,not available,1.022222222222222,0
2021-07-20,1,normal,11513,151029,not available,67409,11050,not available,not available,0.0888888888888888,1
2021-07-21,1,normal,10410,145830,not available,65057,10871,not available,not available,3.555555555555556,2
2021-07-22,1,normal,10250,140191,not available,63554,10530,not available,not available,0.3333333333333333,3
2021-07-23,1,normal,10800,145085,not available,64790,10923,not available,not available,0.2666666666666667,4
2021-07-24,0,วันอาสาฬหบูชา,5490,76429,not available,30184,5259,not available,not available,4.755555555555556,5
2021-07-25,0,วันเข้าพรรษา (ราชการ),4355,60525,not available,24147,4076,not available,not available,4.333333333333333,6
2021-07-26,0,วันหยุดชดเชย,6841,89720,not available,37388,6288,not available,not available,2.977777777777778,0
2021-07-27,1,normal,10406,139329,not available,63245,10175,not available,not available,0.5555555555555556,1
2021-07-28,0,วันเฉลิมฯ พระวชิรเกล้าเจ้าอยู่หัว,5017,67802,not available,26636,4249,not available,not available,13.333333333333336,2
2021-07-29,1,normal,10614,144683,not available,65185,10640,not available,not available,5.644444444444445,3
2021-07-30,1,normal,10895,148216,not available,65360,10745,not available,not available,8.155555555555557,4
2021-07-31,0,normal,6195,85151,not available,34491,6227,not available,not available,5.266666666666667,5
2021-08-01,0,normal,4753,66781,not available,24796,4258,not available,not available,0.0,6
2021-08-02,1,normal,11029,151165,not available,68430,11002,not available,2232,7.088888888888888,0
2021-08-03,1,normal,10439,142949,not available,64456,10524,not available,3087,0.1111111111111111,1
2021-08-04,1,normal,10419,140614,not available,63480,10099,not available,3182,2.377777777777778,2
2021-08-05,1,normal,10188,137851,not available,62785,10204,not available,2813,5.644444444444444,3
2021-08-06,1,normal,10475,140584,not available,63881,10505,not available,2998,0.3555555555555555,4
2021-08-07,0,normal,6429,89134,not available,37962,6202,not available,3673,10.155555555555557,5
2021-08-08,0,normal,4658,66058,not available,26876,4444,not available,3426,0.2222222222222222,6
2021-08-09,1,normal,10860,148359,not available,66920,10790,not available,3356,0.0,0
2021-08-10,1,normal,10649,148471,not available,67601,10744,not available,3172,0.711111111111111,1
2021-08-11,1,normal,10210,150379,not available,68761,10993,not available,3058,25.511111111111106,2
2021-08-12,0,วันแม่,5302,71087,not available,29186,4739,not available,3138,6.733333333333334,3
2021-08-13,1,normal,10894,149363,not available,67038,11286,not available,3053,10.577777777777778,4
2021-08-14,0,normal,6116,85802,not available,35789,5797,not available,2681,6.71111111111111,5
2021-08-15,0,normal,5112,71600,not available,28061,4643,not available,2989,0.5777777777777778,6
2021-08-16,1,normal,11423,154830,not available,70255,11500,not available,3074,0.0222222222222222,0
2021-08-17,1,normal,10779,148840,not available,68420,11022,not available,3039,1.1333333333333333,1
2021-08-18,1,normal,10710,151293,not available,69257,11310,not available,3204,0.2888888888888889,2
2021-08-19,1,normal,11053,148506,not available,68544,11007,not available,3123,1.1111111111111112,3
2021-08-20,1,normal,11356,154056,not available,70910,11650,not available,3180,18.8,4
2021-08-21,0,normal,6314,90305,not available,38081,6288,not available,2602,3.6222222222222222,5
2021-08-22,0,normal,4846,67917,not available,27694,4685,not available,2469,3.333333333333334,6
2021-08-23,1,normal,11649,155076,not available,70830,11409,not available,3180,0.0,0
2021-08-24,1,normal,11061,152256,not available,69742,11152,not available,3090,7.444444444444446,1
2021-08-25,1,normal,11407,156477,not available,71567,11665,not available,3009,17.288888888888888,2
2021-08-26,1,normal,11355,152830,not available,69419,11418,not available,2836,12.4,3
2021-08-27,1,normal,11849,158521,not available,71079,11482,not available,3070,28.53333333333333,4
2021-08-28,0,normal,6748,92778,not available,37952,6501,not available,2358,24.31111111111111,5
2021-08-29,0,normal,5363,75616,not available,30439,5192,not available,2633,2.022222222222222,6
2021-08-30,1,normal,12493,172643,not available,78342,12493,not available,3617,2.4000000000000004,0
2021-08-31,1,normal,12570,173507,not available,78374,12362,not available,3531,23.355555555555554,1
2021-09-01,1,normal,14445,210291,not available,90719,14039,not available,3353,11.977777777777778,2
2021-09-02,1,normal,14144,207177,not available,89428,14000,not available,3341,2.0444444444444447,3
2021-09-03,1,normal,15088,218328,not available,92791,14881,not available,3943,0.0,4
2021-09-04,0,normal,10359,173988,not available,67642,10952,not available,3528,17.77777777777778,5
2021-09-05,0,normal,8103,131686,not available,51523,8094,not available,3064,4.866666666666667,6
2021-09-06,1,normal,14868,217929,not available,95996,15021,not available,3930,1.3333333333333333,0
2021-09-07,1,normal,14429,208078,not available,94076,14533,not available,3462,30.97777777777777,1
2021-09-08,1,normal,14878,210136,not available,92980,14416,not available,3572,3.088888888888889,2
2021-09-09,1,normal,14775,209410,not available,92950,14679,not available,3876,2.9777777777777774,3
2021-09-10,1,normal,15697,221094,not available,97545,15583,not available,3978,4.422222222222223,4
2021-09-11,0,normal,11074,175159,not available,70458,10906,not available,3906,0.2,5
2021-09-12,0,normal,8977,142590,not available,57609,8815,not available,3826,0.0,6
2021-09-13,1,normal,15997,223326,not available,99378,15320,not available,4138,0.0,0
2021-09-14,1,normal,16155,222054,not available,98348,15110,not available,3972,0.4666666666666667,1
2021-09-15,1,normal,16213,226137,not available,100285,15566,not available,4362,6.155555555555556,2
2021-09-16,1,normal,15432,218808,not available,97703,15282,not available,3832,16.133333333333333,3
2021-09-17,1,normal,16730,237403,not available,104542,16440,not available,4582,0.0,4
2021-09-18,0,normal,11698,184527,not available,78102,12049,not available,4592,4.066666666666666,5
2021-09-19,0,normal,9691,145252,not available,60741,9262,not available,3763,14.844444444444449,6
2021-09-20,1,normal,17493,238655,not available,107949,16600,not available,4605,50.4,0
2021-09-21,1,normal,16864,231413,not available,105425,15835,not available,4233,17.755555555555556,1
2021-09-22,1,normal,17068,238822,not available,107866,16308,not available,4708,18.93333333333333,2
2021-09-23,1,normal,17503,240238,not available,107744,16772,not available,4595,3.755555555555555,3
2021-09-24,0,วันมหิดล (ครม.),15469,209723,not available,92971,14531,not available,5517,2.577777777777777,4
2021-09-25,0,normal,12239,185405,not available,76341,11938,not available,5121,9.4,5
2021-09-26,0,normal,10375,155936,not available,62560,9791,not available,5248,0.9333333333333332,6
2021-09-27,1,normal,18068,252898,not available,111664,17875,not available,5248,2.088888888888889,0
2021-09-28,1,normal,17351,250297,not available,113227,17311,not available,6160,7.0,1
2021-09-29,1,normal,18735,255970,not available,116658,17980,not available,5750,4.777777777777778,2
2021-09-30,1,normal,18406,260818,not available,118164,18084,not available,5639,17.15555555555555,3
2021-10-01,1,normal,20829,290622,not available,131457,19765,not available,5800,6.755555555555556,4
2021-10-02,0,normal,14900,228716,not available,97119,15220,not available,5665,27.622222222222224,5
2021-10-03,0,normal,9911,192505,not available,82378,11860,not available,5792,17.333333333333336,6
2021-10-04,1,normal,16789,285029,not available,132307,20010,not available,5929,5.199999999999999,0
2021-10-05,1,normal,12305,289767,not available,135043,20527,not available,6055,17.333333333333332,1
2021-10-06,1,normal,15205,286222,not available,135240,19995,not available,6133,3.888888888888889,2
2021-10-07,1,normal,14107,281810,not available,130914,20103,not available,5551,6.133333333333333,3
2021-10-08,1,normal,17466,305818,not available,138950,21667,not available,5835,8.28888888888889,4
2021-10-09,0,normal,12599,240029,not available,103850,15105,not available,5481,8.066666666666666,5
2021-10-10,0,normal,10709,202233,not available,87026,12330,not available,5568,0.0,6
2021-10-11,1,normal,17609,292680,not available,137940,21502,not available,6107,0.4444444444444444,0
2021-10-12,1,normal,17611,297176,not available,139401,20771,not available,6060,1.4444444444444444,1
2021-10-13,0,วันนวมินทรมหาราช,13004,216484,not available,93313,13171,not available,6588,1.1555555555555554,2
2021-10-14,1,normal,18193,301464,not available,141861,23232,not available,6578,34.35555555555556,3
2021-10-15,1,normal,18519,313752,not available,145317,22592,not available,6905,3.2444444444444445,4
2021-10-16,0,normal,12453,237286,not available,102193,15674,not available,6203,35.06666666666667,5
2021-10-17,0,normal,10689,182903,not available,72229,11331,not available,5242,21.022222222222226,6
2021-10-18,1,normal,18509,308909,not available,143063,22630,not available,6851,0.0444444444444444,0
2021-10-19,1,normal,19156,309183,not available,145900,22423,not available,6592,0.0222222222222222,1
2021-10-20,1,normal,19479,318221,not available,149964,22720,not available,6436,4.088888888888889,2
2021-10-21,1,normal,18254,285816,not available,138007,19243,not available,6272,2.822222222222222,3
2021-10-22,0,วันหยุดชดเชย,15803,248019,not available,106553,15818,not available,6105,11.266666666666666,4
2021-10-23,0,วันปิยมหาราช,12761,218082,not available,93852,13564,not available,6147,1.9777777777777767,5
2021-10-24,0,normal,15106,195155,not available,85621,12145,not available,6627,0.1111111111111111,6
2021-10-25,1,normal,22468,290594,not available,135706,20737,not available,7169,0.0,0
2021-10-26,1,normal,23550,321223,not available,153609,22518,not available,7411,0.0,1
2021-10-27,1,normal,23919,323653,not available,155001,22620,not available,7460,0.0,2
2021-10-28,1,normal,24402,327779,not available,154479,22773,not available,7590,0.711111111111111,3
2021-10-29,1,normal,26381,356386,not available,166047,25359,not available,8188,0.4666666666666667,4
2021-10-30,0,normal,18953,276476,not available,122115,17846,not available,8272,8.844444444444445,5
2021-10-31,0,normal,17805,251305,not available,105662,14478,not available,8356,8.733333333333333,6
2021-11-01,1,normal,27328,359940,not available,173088,25435,not available,7535,14.133333333333333,0
2021-11-02,1,normal,26592,355742,not available,172588,25421,not available,7237,12.31111111111111,1
2021-11-03,1,normal,26010,360859,not available,174883,25409,not available,7499,4.177777777777778,2
2021-11-04,1,normal,26060,361728,not available,174901,25507,not available,7490,0.0,3
2021-11-05,1,normal,27980,383626,not available,184286,26987,not available,8439,0.0888888888888888,4
2021-11-06,0,normal,21264,294636,not available,130211,18850,not available,7722,5.022222222222222,5
2021-11-07,0,normal,18097,247446,not available,108598,15382,not available,7232,4.8,6
2021-11-08,1,normal,27986,365434,not available,175830,25678,not available,8389,0.6888888888888889,0
2021-11-09,1,normal,28305,374326,not available,181167,26032,not available,8011,0.4222222222222222,1
2021-11-10,1,normal,27899,381083,not available,182971,27548,not available,8191,0.0,2
2021-11-11,1,normal,28468,379036,not available,183315,27291,not available,8512,0.0,3
2021-11-12,1,normal,27356,394230,not available,188022,27243,not available,8952,0.0,4
2021-11-13,0,normal,22416,303491,not available,137277,18585,not available,8301,0.0,5
2021-11-14,0,normal,19189,251744,not available,113640,15333,not available,8135,0.0,6
2021-11-15,1,normal,29668,377265,not available,185954,27936,not available,8808,0.0,0
2021-11-16,1,normal,28824,383830,not available,190268,27546,not available,8818,0.0,1
2021-11-17,1,normal,30064,389781,not available,191820,27814,not available,8638,0.0,2
2021-11-18,1,normal,29662,386469,not available,189743,27664,not available,9038,0.1111111111111111,3
2021-11-19,1,normal,33355,489564,not available,216659,31088,not available,10587,0.6444444444444444,4
2021-11-20,0,normal,23128,303924,not available,137100,18631,not available,8425,10.377777777777776,5
2021-11-21,0,normal,20508,252079,not available,108812,15017,not available,8356,5.022222222222222,6
2021-11-22,1,normal,30687,383995,not available,186406,28657,not available,9274,0.5777777777777778,0
2021-11-23,1,normal,31470,390930,not available,191454,28784,not available,9076,0.4666666666666667,1
2021-11-24,1,normal,30713,396484,not available,193266,28211,not available,9236,0.0,2
2021-11-25,1,normal,31226,410351,not available,195837,28291,not available,9522,0.0,3
2021-11-26,1,normal,33848,444266,not available,205505,29486,not available,10602,0.0,4
2021-11-27,0,normal,25490,344734,not available,150228,21970,not available,11180,0.0,5
2021-11-28,0,normal,20684,277613,not available,117609,16010,not available,10129,0.0,6
2021-11-29,1,normal,31771,406534,not available,196176,29869,not available,11292,0.0222222222222222,0
2021-11-30,1,normal,32943,429296,not available,205267,30382,not available,10412,0.0,1
2021-12-01,1,normal,33179,438096,not available,207938,30336,not available,9838,0.0,2
2021-12-02,1,normal,33472,439380,not available,208546,31084,not available,10157,0.0222222222222222,3
2021-12-03,1,normal,35291,469217,not available,216660,32182,not available,11977,0.0,4
2021-12-04,0,normal,25718,349806,not available,156405,22802,not available,9406,0.0,5
2021-12-05,0,วันพ่อ,21774,289414,not available,127155,18103,not available,9214,0.0,6
2021-12-06,0,วันหยุดชดเชย,21896,272024,not available,124778,17730,not available,8977,0.0,0
2021-12-07,1,normal,33853,437993,not available,200933,29586,not available,11083,0.0,1
2021-12-08,1,normal,33557,441942,not available,211650,29939,not available,10351,0.0,2
2021-12-09,1,normal,35861,460851,not available,211655,32633,not available,10484,0.0,3
2021-12-10,0,วันรัฐธรรมนูญ,26974,354825,not available,156401,23124,not available,8922,0.0,4
2021-12-11,0,normal,25391,338319,not available,144582,18358,not available,9565,0.0,5
2021-12-12,0,normal,25987,320603,not available,150074,17980,not available,9628,0.0,6
2021-12-13,1,normal,35003,436792,not available,216447,32108,not available,9940,0.0,0
2021-12-14,1,normal,34509,447459,not available,211057,30123,not available,10184,0.0,1
2021-12-15,1,normal,35022,464841,not available,216477,31136,not available,10588,0.0,2
2021-12-16,1,normal,34792,464508,not available,220538,31820,not available,10798,0.0,3
2021-12-17,1,normal,36743,498287,not available,218613,31860,not available,11486,0.0,4
2021-12-18,0,normal,28487,389801,not available,157816,22575,not available,10066,0.0,5
2021-12-19,0,normal,25039,327847,not available,128303,17923,not available,9487,0.0,6
2021-12-20,1,normal,35721,458955,not available,208802,31194,not available,10839,0.0,0
2021-12-21,1,normal,35457,464843,not available,219855,31278,not available,10244,0.0,1
2021-12-22,1,normal,35127,477088,not available,220897,33251,not available,10698,0.0,2
2021-12-23,1,normal,35758,496101,not available,223585,32594,not available,10779,0.0,3
2021-12-24,2,คริสต์มาสอีฟ,37918,536288,not available,234751,33205,not available,12036,0.1777777777777777,4
2021-12-25,2,คริสต์มาส,29990,469038,not available,169467,23531,not available,10127,1.0444444444444445,5
2021-12-26,0,normal,19760,325856,not available,137776,18683,not available,9062,0.9111111111111112,6
2021-12-27,1,normal,33065,437074,not available,210527,31335,not available,10714,0.0,0
2021-12-28,1,normal,32617,435812,not available,199476,27669,not available,10803,0.0,1
2021-12-29,1,normal,29513,413061,not available,186772,26769,not available,8109,0.0,2
2021-12-30,1,normal,27933,392270,not available,168470,23952,not available,7525,0.0,3
2021-12-31,0,วันสิ้นปี,22013,332682,not available,118385,15739,not available,5612,0.0,4
2022-01-01,0,วันขึ้นปีใหม่,17598,231038,not available,106301,12705,not available,5169,0.0,5
2022-01-02,0,normal,18513,236239,not available,105240,13107,not available,5602,0.0,6
2022-01-03,0,วันหยุดชดเชย,21095,220638,not available,106005,14538,not available,5685,0.0,0
2022-01-04,1,normal,31263,376705,not available,178294,25425,not available,7237,0.0,1
2022-01-05,1,normal,31344,383310,not available,180593,26100,not available,7819,0.0,2
2022-01-06,1,normal,31164,377488,not available,181064,26114,not available,7015,0.0222222222222222,3
2022-01-07,1,normal,30942,383676,not available,188552,27034,not available,7407,0.0,4
2022-01-08,2,วันเด็ก,22782,292483,not available,135619,18218,not available,8054,0.0,5
2022-01-09,0,normal,19920,238202,not available,112434,14799,not available,6908,0.0,6
2022-01-10,1,normal,30092,361660,not available,176329,24575,not available,8770,0.0,0
2022-01-11,1,normal,29116,360279,not available,180898,25733,not available,8477,0.0,1
2022-01-12,1,normal,28175,356471,not available,176593,26140,not available,8302,0.0,2
2022-01-13,1,normal,28248,355480,not available,173391,25179,not available,8050,0.0,3
2022-01-14,1,normal,31144,373883,not available,181315,26127,not available,9150,0.0,4
2022-01-15,0,normal,23292,286691,not available,130413,17606,not available,7962,0.0,5
2022-01-16,0,normal,20032,238401,not available,108119,14300,not available,7004,0.0,6
2022-01-17,1,normal,29652,366421,not available,174118,24986,not available,8352,0.0,0
2022-01-18,1,normal,29486,367865,not available,180813,26770,not available,8224,0.0,1
2022-01-19,1,normal,29580,369042,not available,180399,26849,not available,8313,0.0,2
2022-01-20,1,normal,29958,375470,not available,180635,25975,not available,8817,1.3555555555555552,3
2022-01-21,1,normal,31758,395561,not available,190041,27910,not available,9497,0.9555555555555556,4
2022-01-22,0,normal,23462,297621,not available,136689,18807,not available,8792,4.066666666666666,5
2022-01-23,0,normal,20349,254787,not available,113322,15275,not available,8853,0.0,6
2022-01-24,1,normal,31131,383123,not available,177438,25198,not available,9043,0.0,0
2022-01-25,1,normal,30593,389493,not available,188100,27577,not available,8998,0.0,1
2022-01-26,1,normal,30897,394785,not available,190492,27290,not available,9103,0.0666666666666666,2
2022-01-27,1,normal,30785,389814,not available,189405,26582,not available,9228,7.888888888888887,3
2022-01-28,1,normal,33661,442849,not available,205468,28285,not available,10803,0.0,4
