epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,5,,,12151.4482421875,0.18803951144218445,13456.4189453125,0.19205965101718903,13456.4189453125
0,,5,15441.6162109375,,,,,,
,0.0003,6,,,,,,,
1,,9,,11306.5771484375,,,,,
1,,11,,,6995.27294921875,0.12181712687015533,8817.5205078125,0.11560619622468948,8817.5205078125
1,,11,11299.25,,,,,,
,0.0003,12,,,,,,,
2,,17,,,8569.5732421875,0.13797980546951294,9581.7001953125,0.13733117282390594,9581.7001953125
2,,17,10821.2470703125,,,,,,
,0.0003,18,,,,,,,
3,,19,,10209.166015625,,,,,
3,,23,,,7935.0576171875,0.12845616042613983,9073.7138671875,0.1262066513299942,9073.7138671875
3,,23,10391.0068359375,,,,,,
,0.0003,24,,,,,,,
4,,29,,9782.7822265625,,,,,
4,,29,,,4646.47705078125,0.08312748372554779,6070.02880859375,0.07985223829746246,6070.02880859375
4,,29,9507.0302734375,,,,,,
,0.0003,30,,,,,,,
5,,35,,,4400.296875,0.07661489397287369,5464.5087890625,0.07578527182340622,5464.5087890625
5,,35,9309.2666015625,,,,,,
,0.0003,36,,,,,,,
6,,39,,9067.8017578125,,,,,
6,,41,,,5488.66162109375,0.09046731144189835,6468.7197265625,0.08927556872367859,6468.7197265625
6,,41,9057.3583984375,,,,,,
,0.0003,42,,,,,,,
7,,47,,,6613.435546875,0.10246951133012772,7422.02685546875,0.10461702197790146,7422.02685546875
7,,47,8788.3408203125,,,,,,
,0.0003,48,,,,,,,
8,,49,,6905.4755859375,,,,,
8,,53,,,5905.2529296875,0.09187491238117218,6697.767578125,0.09366335719823837,6697.767578125
8,,53,8529.0400390625,,,,,,
,0.0003,54,,,,,,,
9,,59,,7786.5302734375,,,,,
9,,59,,,2909.416748046875,0.05229821056127548,3959.2880859375,0.05019474774599075,3959.2880859375
9,,59,8267.4921875,,,,,,
,0.0003,60,,,,,,,
10,,65,,,5841.95947265625,0.0903584212064743,6690.51123046875,0.09204337745904922,6690.51123046875
10,,65,8286.0263671875,,,,,,
,0.0003,66,,,,,,,
11,,69,,7329.1220703125,,,,,
11,,71,,,4780.69384765625,0.07630853354930878,5679.97509765625,0.07767090946435928,5679.97509765625
11,,71,8034.35009765625,,,,,,
