Subject,Start Date,Category
วันเด็ก,2025-01-11,festival
วันมาฆบูชา,2025-02-12,holiday
วาเลนไทน์,2025-02-14,festival
วันจักรี,2025-04-06,holiday
วันหยุดชดเชย,2025-04-07,holiday
สงกรานต์,2025-04-13,holiday
สงกรานต์,2025-04-14,holiday
สงกรานต์,2025-04-15,holiday
วันหยุดชดเชย,2025-04-16,holiday
วันแรงงาน (เอกชน),2025-05-01,holiday
วันฉัตรมงคล,2025-05-04,holiday
วันหยุดชดเชย,2025-05-05,holiday
วันพืชมงคล (ราชการ),2025-05-09,holiday
วันวิสาขบูชา,2025-05-11,holiday
วันหยุดชดเชย,2025-05-12,holiday
วันหยุดพิเศษ (ครม.),2025-06-02,holiday
วันเฉลิมฯ พระบรมราชินี,2025-06-03,holiday
วันอาสาฬหบูชา,2025-07-10,holiday
วันเข้าพรรษา (ราชการ),2025-07-11,holiday
วันเฉลิมฯ พระวชิรเกล้าเจ้าอยู่หัว,2025-07-28,holiday
วันหยุดพิเศษ (ครม.),2025-08-11,holiday
วันแม่,2025-08-12,holiday
วันนวมินทรมหาราช,2025-10-13,holiday
วันปิยมหาราช,2025-10-23,holiday
วันพ่อ,2025-12-05,holiday
วันรัฐธรรมนูญ,2025-12-10,holiday
คริสต์มาสอีฟ,2025-12-24,festival
คริสต์มาส,2025-12-25,festival
วันสิ้นปี,2025-12-31,holiday
