"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"วันขึ้นปีใหม่","20250101",,,,"true","วันพุธ ขึ้น ๓ ค่ำ เดือนยี่ (๒) ปีมะโรง","3",""
"วันมาฆบูชา","20250212",,,,"true","วันพุธ ขึ้น ๑๕ ค่ำ เดือนสาม (๓) ปีมะโรง","3",""
"วันจักรี","20250406",,,,"true","วันอาทิตย์ ขึ้น ๙ ค่ำ เดือนห้า (๕) ปีมะเส็ง","3",""
"วันหยุดชดเชย","20250407",,,,"true","วันจันทร์ ขึ้น ๑๐ ค่ำ เดือนห้า (๕) ปีมะเส็ง","3",""
"วันสงกรานต์","20250413",,,,"true","วันอาทิตย์ แรม ๑ ค่ำ เดือนห้า (๕) ปีมะเส็ง","3",""
"วันสงกรานต์","20250414",,,,"true","วันจันทร์ แรม ๒ ค่ำ เดือนห้า (๕) ปีมะเส็ง","3",""
"วันสงกรานต์","20250415",,,,"true","วันอังคาร แรม ๓ ค่ำ เดือนห้า (๕) ปีมะเส็ง","3",""
"วันหยุดชดเชย","20250416",,,,"true","วันพุธ แรม ๔ ค่ำ เดือนห้า (๕) ปีมะเส็ง","3",""
"วันแรงงาน (เอกชน)","20250501",,,,"true","วันพฤหัสบดี ขึ้น ๕ ค่ำ เดือนหก (๖) ปีมะเส็ง","3",""
"วันฉัตรมงคล","20250504",,,,"true","วันอาทิตย์ ขึ้น ๘ ค่ำ เดือนหก (๖) ปีมะเส็ง","3",""
"วันหยุดชดเชย","20250505",,,,"true","วันจันทร์ ขึ้น ๙ ค่ำ เดือนหก (๖) ปีมะเส็ง","3",""
"วันพืชมงคล (ราชการ)","20250509",,,,"true","วันศุกร์ ขึ้น ๑๓ ค่ำ เดือนหก (๖) ปีมะเส็ง","3",""
"วันวิสาขบูชา","20250511",,,,"true","วันอาทิตย์ ขึ้น ๑๕ ค่ำ เดือนหก (๖) ปีมะเส็ง","3",""
"วันหยุดชดเชย","20250512",,,,"true","วันจันทร์ แรม ๑ ค่ำ เดือนหก (๖) ปีมะเส็ง","3",""
"วันหยุดพิเศษ (ครม.)","20250602",,,,"true","วันจันทร์ ขึ้น ๗ ค่ำ เดือนเจ็ด (๗) ปีมะเส็ง","3",""
"วันเฉลิมฯ พระบรมราชินี","20250603",,,,"true","วันอังคาร ขึ้น ๘ ค่ำ เดือนเจ็ด (๗) ปีมะเส็ง","3",""
"วันอาสาฬหบูชา","20250710",,,,"true","วันพฤหัสบดี ขึ้น ๑๕ ค่ำ เดือนแปด (๘) ปีมะเส็ง","3",""
"วันเข้าพรรษา (ราชการ)","20250711",,,,"true","วันศุกร์ แรม ๑ ค่ำ เดือนแปด (๘) ปีมะเส็ง","3",""
"วันเฉลิมฯ พระวชิรเกล้าเจ้าอยู่หัว","20250728",,,,"true","วันจันทร์ ขึ้น ๓ ค่ำ เดือนเก้า (๙) ปีมะเส็ง","3",""
"วันหยุดพิเศษ (ครม.)","20250811",,,,"true","วันจันทร์ แรม ๒ ค่ำ เดือนเก้า (๙) ปีมะเส็ง","3",""
"วันแม่","20250812",,,,"true","วันอังคาร แรม ๓ ค่ำ เดือนเก้า (๙) ปีมะเส็ง","3",""
"วันนวมินทรมหาราช","20251013",,,,"true","วันจันทร์ แรม ๖ ค่ำ เดือนสิบเอ็ด (๑๑) ปีมะเส็ง","3",""
"วันปิยมหาราช","20251023",,,,"true","วันพฤหัสบดี ขึ้น ๒ ค่ำ เดือนสิบสอง (๑๒) ปีมะเส็ง","3",""
"วันพ่อ","20251205",,,,"true","วันศุกร์ ขึ้น ๑๕ ค่ำ เดือนอ้าย (๑) ปีมะเส็ง","3",""
"วันรัฐธรรมนูญ","20251210",,,,"true","วันพุธ แรม ๕ ค่ำ เดือนอ้าย (๑) ปีมะเส็ง","3",""
"วันสิ้นปี","20251231",,,,"true","วันพุธ ขึ้น ๑๒ ค่ำ เดือนยี่ (๒) ปีมะเส็ง","3",""
