"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"วันขึ้นปีใหม่","20200101",,,,"true","วันพุธ ขึ้น ๗ ค่ำ เดือนยี่ (๒) ปีกุน","3",""
"วันมาฆบูชา","20200208",,,,"true","วันเสาร์ ขึ้น ๑๕ ค่ำ เดือนสาม (๓) ปีกุน","3",""
"วันหยุดชดเชย","20200210",,,,"true","วันจันทร์ แรม ๒ ค่ำ เดือนสาม (๓) ปีกุน","3",""
"วันจักรี","20200406",,,,"true","วันจันทร์ ขึ้น ๑๔ ค่ำ เดือนห้า (๕) ปีชวด","3",""
"วันแรงงาน (เอกชน)","20200501",,,,"true","วันศุกร์ ขึ้น ๑๐ ค่ำ เดือนหก (๖) ปีชวด","3",""
"วันฉัตรมงคล","20200504",,,,"true","วันจันทร์ ขึ้น ๑๓ ค่ำ เดือนหก (๖) ปีชวด","3",""
"วันวิสาขบูชา","20200506",,,,"true","วันพุธ ขึ้น ๑๕ ค่ำ เดือนหก (๖) ปีชวด","3",""
"วันพืชมงคล (ราชการ)","20200511",,,,"true","วันจันทร์ แรม ๕ ค่ำ เดือนหก (๖) ปีชวด","3",""
"วันเฉลิมฯ พระบรมราชินี","20200603",,,,"true","วันพุธ ขึ้น ๑๓ ค่ำ เดือนเจ็ด (๗) ปีชวด","3",""
"วันอาสาฬหบูชา","20200705",,,,"true","วันอาทิตย์ ขึ้น ๑๕ ค่ำ เดือนแปด (๘) ปีชวด","3",""
"วันเข้าพรรษา (ราชการ)","20200706",,,,"true","วันจันทร์ แรม ๑ ค่ำ เดือนแปด (๘) ปีชวด","3",""
"วันหยุดชดเชย","20200707",,,,"true","วันอังคาร แรม ๒ ค่ำ เดือนแปด (๘) ปีชวด","3",""
"วันหยุดชดเชย","20200727",,,,"true","วันจันทร์ ขึ้น ๗ ค่ำ เดือนเก้า (๙) ปีชวด","3",""
"วันเฉลิมฯ พระวชิรเกล้าเจ้าอยู่หัว","20200728",,,,"true","วันอังคาร ขึ้น ๘ ค่ำ เดือนเก้า (๙) ปีชวด","3",""
"วันแม่","20200812",,,,"true","วันพุธ แรม ๘ ค่ำ เดือนเก้า (๙) ปีชวด","3",""
"วันหยุดชดเชย","20200904",,,,"true","วันศุกร์ แรม ๒ ค่ำ เดือนสิบ (๑๐) ปีชวด","3",""
"วันหยุดชดเชย","20200907",,,,"true","วันจันทร์ แรม ๕ ค่ำ เดือนสิบ (๑๐) ปีชวด","3",""
"วันนวมินทรมหาราช","20201013",,,,"true","วันอังคาร แรม ๑๑ ค่ำ เดือนสิบเอ็ด (๑๑) ปีชวด","3",""
"วันปิยมหาราช","20201023",,,,"true","วันศุกร์ ขึ้น ๗ ค่ำ เดือนสิบสอง (๑๒) ปีชวด","3",""
"วันหยุดพิเศษ (ครม.)","20201119",,,,"true","วันพฤหัสบดี ขึ้น ๔ ค่ำ เดือนอ้าย (๑) ปีชวด","3",""
"วันหยุดพิเศษ (ครม.)","20201120",,,,"true","วันศุกร์ ขึ้น ๕ ค่ำ เดือนอ้าย (๑) ปีชวด","3",""
"วันพ่อ","20201205",,,,"true","วันเสาร์ แรม ๕ ค่ำ เดือนอ้าย (๑) ปีชวด","3",""
"วันรัฐธรรมนูญ","20201210",,,,"true","วันพฤหัสบดี แรม ๑๐ ค่ำ เดือนอ้าย (๑) ปีชวด","3",""
"วันหยุดชดเชย  (ครม.)","20201211",,,,"true","วันศุกร์ แรม ๑๑ ค่ำ เดือนอ้าย (๑) ปีชวด","3",""
"วันสิ้นปี","20201231",,,,"true","วันพฤหัสบดี แรม ๒ ค่ำ เดือนยี่ (๒) ปีชวด","3",""
