epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,4,,,14492.0205078125,0.24586133658885956,16168.8193359375,0.2368636280298233,14492.0205078125
0,,4,13055.7607421875,,,,,,
,0.0003,5,,,,,,,
1,,9,,11509.1357421875,,,,,
1,,9,,,12566.0830078125,0.20992852747440338,14769.162109375,0.20424509048461914,12566.0830078125
1,,9,11847.6865234375,,,,,,
,0.0003,10,,,,,,,
2,,14,,,11047.9287109375,0.18668366968631744,13323.1220703125,0.17916160821914673,11047.9287109375
2,,14,10792.998046875,,,,,,
,0.0003,15,,,,,,,
3,,19,,9843.0244140625,,,,,
3,,19,,,10627.076171875,0.1783350110054016,12447.9013671875,0.17260481417179108,10627.076171875
3,,19,10130.5107421875,,,,,,
,0.0003,20,,,,,,,
4,,24,,,9637.380859375,0.16185522079467773,11534.3193359375,0.15629522502422333,9637.380859375
4,,24,9366.0361328125,,,,,,
,0.0003,25,,,,,,,
5,,29,,9051.37109375,,,,,
5,,29,,,9222.537109375,0.1560911387205124,10933.1337890625,0.15078774094581604,9222.537109375
5,,29,8894.1787109375,,,,,,
,0.0003,30,,,,,,,
6,,34,,,8914.921875,0.1506868302822113,10524.744140625,0.1459030956029892,8914.921875
6,,34,8522.1171875,,,,,,
,0.0003,35,,,,,,,
7,,39,,7694.94580078125,,,,,
7,,39,,,8930.923828125,0.1484363079071045,10423.53125,0.14471152424812317,8930.923828125
7,,39,8126.1845703125,,,,,,
,0.0003,40,,,,,,,
8,,44,,,8221.923828125,0.13889752328395844,9960.654296875,0.13336901366710663,8221.923828125
8,,44,8094.8154296875,,,,,,
,0.0003,45,,,,,,,
9,,49,,7366.51318359375,,,,,
9,,49,,,8394.38671875,0.14107148349285126,10024.177734375,0.13574367761611938,8394.38671875
9,,49,8023.83740234375,,,,,,
,0.0003,50,,,,,,,
10,,54,,,7773.9287109375,0.13344267010688782,9648.322265625,0.12631277740001678,7773.9287109375
10,,54,7840.40625,,,,,,
,0.0003,55,,,,,,,
11,,59,,7212.05322265625,,,,,
11,,59,,,8528.603515625,0.14282187819480896,10014.71875,0.13770128786563873,8528.603515625
11,,59,7718.6484375,,,,,,
,0.0003,60,,,,,,,
12,,64,,,7709.53564453125,0.1318211406469345,9532.6435546875,0.12464416772127151,7709.53564453125
12,,64,7652.72509765625,,,,,,
,0.0003,65,,,,,,,
13,,69,,7644.03271484375,,,,,
13,,69,,,8047.0849609375,0.1353500932455063,9677.427734375,0.12919177114963531,8047.0849609375
13,,69,7421.24853515625,,,,,,
,0.0003,70,,,,,,,
14,,74,,,8396.5361328125,0.13939304649829865,9873.6416015625,0.13440924882888794,8396.5361328125
14,,74,7304.19775390625,,,,,,
,0.0003,75,,,,,,,
15,,79,,7172.07177734375,,,,,
15,,79,,,7460.876953125,0.12759391963481903,9337.7919921875,0.12011972814798355,7460.876953125
15,,79,7049.4287109375,,,,,,
,0.0003,80,,,,,,,
16,,84,,,6821.6279296875,0.11931885033845901,9067.6826171875,0.11032586544752121,6821.6279296875
16,,84,7127.16552734375,,,,,,
,0.0003,85,,,,,,,
17,,89,,6863.607421875,,,,,
17,,89,,,6651.08935546875,0.11729108542203903,8998.880859375,0.10810072720050812,6651.08935546875
17,,89,6896.13818359375,,,,,,
,0.0003,90,,,,,,,
18,,94,,,5300.69091796875,0.10157433152198792,8792.65625,0.0890103429555893,5300.69091796875
18,,94,6737.99853515625,,,,,,
,0.0003,95,,,,,,,
19,,99,,6148.63232421875,,,,,
19,,99,,,5320.51123046875,0.1021755039691925,8855.111328125,0.08953855186700821,5320.51123046875
19,,99,6581.1279296875,,,,,,
,0.0003,100,,,,,,,
20,,104,,,4944.5341796875,0.09912002086639404,9016.6259765625,0.08468599617481232,4944.5341796875
20,,104,6262.91162109375,,,,,,
,0.0003,105,,,,,,,
21,,109,,6354.91357421875,,,,,
21,,109,,,5125.9365234375,0.1034705638885498,9670.626953125,0.08599897474050522,5125.9365234375
21,,109,6287.564453125,,,,,,
,0.0003,110,,,,,,,
22,,114,,,5248.1220703125,0.10550689697265625,9890.2353515625,0.08715526014566422,5248.1220703125
