epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,17102.623046875,,,,,
0,,19,,11902.34765625,,,,,
0,,27,,,10340.712890625,0.1610141396522522,10844.36328125,0.15891854465007782,10340.712890625
0,,27,15647.3603515625,,,,,,
,0.0003,28,,,,,,,
1,,29,,9981.0615234375,,,,,
1,,39,,9135.58203125,,,,,
1,,49,,8363.11328125,,,,,
1,,55,,,7404.6279296875,0.1300591081380844,9627.0400390625,0.11731632798910141,7404.6279296875
1,,55,8650.1142578125,,,,,,
,0.0003,56,,,,,,,
2,,59,,7345.177734375,,,,,
2,,69,,6834.0205078125,,,,,
2,,79,,6366.0703125,,,,,
2,,83,,,4069.549560546875,0.06967806816101074,6032.751953125,0.06593652069568634,4069.549560546875
2,,83,6617.3076171875,,,,,,
,0.0003,84,,,,,,,
3,,89,,5629.7353515625,,,,,
3,,99,,5149.67333984375,,,,,
3,,109,,4647.50244140625,,,,,
3,,111,,,2999.6240234375,0.05190407112240791,5351.748046875,0.04841801896691322,2999.6240234375
3,,111,5345.9990234375,,,,,,
,0.0003,112,,,,,,,
4,,119,,4868.86083984375,,,,,
4,,129,,4270.10009765625,,,,,
4,,139,,4382.69775390625,,,,,
4,,139,,,2998.252197265625,0.05218443647027016,5364.89794921875,0.048484452068805695,2998.252197265625
4,,139,4727.53759765625,,,,,,
,0.0003,140,,,,,,,
5,,149,,4062.494384765625,,,,,
5,,159,,3926.515625,,,,,
5,,167,,,3016.19384765625,0.050784409046173096,5205.103515625,0.04795799404382706,3016.19384765625
5,,167,4418.21337890625,,,,,,
,0.0003,168,,,,,,,
6,,169,,4596.05712890625,,,,,
6,,179,,4043.31982421875,,,,,
6,,189,,4518.47900390625,,,,,
6,,195,,,3003.758056640625,0.05131278187036514,5226.80859375,0.04807348921895027,3003.758056640625
6,,195,4224.1728515625,,,,,,
,0.0003,196,,,,,,,
7,,199,,3944.417724609375,,,,,
7,,209,,4256.32861328125,,,,,
7,,219,,4593.48095703125,,,,,
7,,223,,,3388.9326171875,0.05369287729263306,5338.89208984375,0.05212637409567833,3388.9326171875
7,,223,4126.35107421875,,,,,,
,0.0003,224,,,,,,,
8,,229,,3975.58154296875,,,,,
8,,239,,4624.40771484375,,,,,
8,,249,,4258.31494140625,,,,,
8,,251,,,3214.089599609375,0.05235046148300171,5218.451171875,0.05013686791062355,3214.089599609375
8,,251,4004.54296875,,,,,,
,0.0003,252,,,,,,,
9,,259,,4220.54541015625,,,,,
9,,269,,3892.60400390625,,,,,
9,,279,,3596.4296875,,,,,
9,,279,,,3110.93896484375,0.0528964065015316,5248.99365234375,0.04968353733420372,3110.93896484375
9,,279,3929.66064453125,,,,,,
