epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,76065.515625,,,,,
0,,19,,62037.03515625,,,,,
0,,28,,,148793.5625,0.30185845494270325,172476.890625,0.3702031373977661,72697.34375
0,,28,71250.25,,,,,,
,0.0003,29,,,,,,,
1,,29,,54045.8125,,,,,
1,,39,,52444.4375,,,,,
1,,49,,44607.08984375,,,,,
1,,57,,,94705.3203125,0.22466404736042023,99367.6484375,0.22593270242214203,50603.94140625
1,,57,49092.9296875,,,,,,
,0.0003,58,,,,,,,
2,,59,,42439.7578125,,,,,
2,,69,,36264.8671875,,,,,
2,,79,,34661.109375,,,,,
2,,86,,,60325.40234375,0.16548855602741241,72189.5625,0.16782154142856598,33425.6015625
2,,86,35834.13671875,,,,,,
,0.0003,87,,,,,,,
3,,89,,31392.875,,,,,
3,,99,,28155.853515625,,,,,
3,,109,,26558.236328125,,,,,
3,,115,,,32879.06640625,0.09530553221702576,58266.9765625,0.08143488317728043,22605.095703125
3,,115,28141.373046875,,,,,,
,0.0003,116,,,,,,,
4,,119,,24303.6484375,,,,,
4,,129,,24780.94140625,,,,,
4,,139,,21544.65625,,,,,
4,,144,,,35214.89453125,0.09764901548624039,56236.64453125,0.08627037703990936,21628.150390625
4,,144,23821.87890625,,,,,,
,0.0003,145,,,,,,,
5,,149,,22481.044921875,,,,,
5,,159,,21020.927734375,,,,,
5,,169,,22272.33984375,,,,,
5,,173,,,33040.953125,0.09178337454795837,52346.046875,0.08182486146688461,19687.525390625
5,,173,20888.76953125,,,,,,
,0.0003,174,,,,,,,
6,,179,,19262.5703125,,,,,
6,,189,,19359.625,,,,,
6,,199,,20043.2578125,,,,,
6,,202,,,27349.87890625,0.07479392737150192,40355.703125,0.06939899921417236,15743.8623046875
6,,202,19359.794921875,,,,,,
,0.0003,203,,,,,,,
7,,209,,16818.400390625,,,,,
7,,219,,16401.380859375,,,,,
7,,229,,16595.208984375,,,,,
7,,231,,,25427.478515625,0.0634479746222496,29047.189453125,0.06527958065271378,13331.931640625
7,,231,17386.255859375,,,,,,
,0.0003,232,,,,,,,
8,,239,,16878.56640625,,,,,
8,,249,,16192.34765625,,,,,
8,,259,,17810.232421875,,,,,
8,,260,,,29744.736328125,0.07278195768594742,32693.2421875,0.07613535225391388,15239.904296875
8,,260,16864.16015625,,,,,,
,0.0003,261,,,,,,,
9,,269,,17279.548828125,,,,,
9,,279,,16629.78515625,,,,,
9,,289,,15761.1318359375,,,,,
9,,289,,,26559.341796875,0.06425544619560242,29742.28515625,0.06697492301464081,13949.337890625
9,,289,16207.892578125,,,,,,
,0.0003,290,,,,,,,
10,,299,,15093.5205078125,,,,,
10,,309,,16776.427734375,,,,,
10,,318,,,23699.9140625,0.05529492348432541,27292.283203125,0.05734909325838089,12663.869140625
10,,318,15644.5302734375,,,,,,
,0.0003,319,,,,,,,
11,,319,,15170.498046875,,,,,
11,,329,,14779.3349609375,,,,,
11,,339,,16612.263671875,,,,,
11,,347,,,28816.28125,0.0658591017127037,32296.33984375,0.06881929934024811,15067.12109375
11,,347,15215.013671875,,,,,,
,0.0003,348,,,,,,,
12,,349,,14959.9423828125,,,,,
12,,359,,15591.0517578125,,,,,
12,,369,,14261.7041015625,,,,,
12,,376,,,20485.470703125,0.04808096960186958,24140.08984375,0.049704451113939285,10932.1396484375
12,,376,14943.0947265625,,,,,,
,0.0003,377,,,,,,,
13,,379,,15704.7880859375,,,,,
13,,389,,13048.455078125,,,,,
13,,399,,14638.505859375,,,,,
13,,405,,,23420.005859375,0.05444657802581787,27050.2734375,0.05660610273480415,12121.6669921875
13,,405,14519.15234375,,,,,,
,0.0003,406,,,,,,,
14,,409,,15248.697265625,,,,,
14,,419,,16084.8115234375,,,,,
14,,429,,13771.474609375,,,,,
14,,434,,,23168.50390625,0.0535905696451664,26836.58984375,0.055685367435216904,11578.8720703125
14,,434,14699.96484375,,,,,,
,0.0003,435,,,,,,,
15,,439,,15390.416015625,,,,,
15,,449,,13835.134765625,,,,,
15,,459,,13375.78515625,,,,,
15,,463,,,24280.951171875,0.0553918220102787,27868.67578125,0.057525649666786194,12791.2763671875
15,,463,14173.6533203125,,,,,,
,0.0003,464,,,,,,,
16,,469,,14274.91015625,,,,,
16,,479,,13574.16015625,,,,,
16,,489,,14540.0556640625,,,,,
16,,492,,,22496.0625,0.05191684514284134,25728.6484375,0.05357983335852623,11384.9228515625
16,,492,13967.7421875,,,,,,
,0.0003,493,,,,,,,
17,,499,,14259.1103515625,,,,,
17,,509,,11909.6611328125,,,,,
17,,519,,13386.7080078125,,,,,
17,,521,,,28267.3046875,0.06576023995876312,31679.0859375,0.06883157789707184,14510.37890625
17,,521,13718.2783203125,,,,,,
