epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0001,0,,,,,,,
0,,3,,,15211.556640625,0.24764777719974518,15899.8251953125,0.24438701570034027,15899.8251953125
0,,3,16350.23828125,,,,,,
,0.0001,4,,,,,,,
1,,7,,,15356.9228515625,0.2432740479707718,16244.2890625,0.24668805301189423,16244.2890625
1,,7,16248.2861328125,,,,,,
,0.0001,8,,,,,,,
2,,9,,15793.2666015625,,,,,
2,,11,,,15137.6875,0.2366858273744583,16206.6728515625,0.24276866018772125,16206.6728515625
2,,11,15756.7060546875,,,,,,
,0.0001,12,,,,,,,
3,,15,,,14344.556640625,0.2269831746816635,15370.4462890625,0.22955302894115448,15370.4462890625
3,,15,15716.7109375,,,,,,
,0.0001,16,,,,,,,
4,,19,,15850.3447265625,,,,,
4,,19,,,13652.4775390625,0.2166203111410141,14754.2041015625,0.21792103350162506,14754.2041015625
4,,19,15273.869140625,,,,,,
,0.0001,20,,,,,,,
5,,23,,,12921.494140625,0.20517346262931824,14147.2783203125,0.20556281507015228,14147.2783203125
5,,23,15324.9365234375,,,,,,
,0.0001,24,,,,,,,
6,,27,,,12278.1162109375,0.19376903772354126,13647.671875,0.19439920783042908,13647.671875
6,,27,14649.30859375,,,,,,
,0.0001,28,,,,,,,
7,,29,,14786.2958984375,,,,,
7,,31,,,11929.140625,0.1865708976984024,13305.279296875,0.1882449835538864,13305.279296875
7,,31,14647.8251953125,,,,,,
,0.0001,32,,,,,,,
8,,35,,,11027.7705078125,0.17476436495780945,12379.94140625,0.1739879697561264,12379.94140625
8,,35,14148.8046875,,,,,,
,0.0001,36,,,,,,,
9,,39,,15197.453125,,,,,
9,,39,,,10243.7939453125,0.16456900537014008,11603.7119140625,0.1621425300836563,11603.7119140625
9,,39,14125.466796875,,,,,,
,0.0001,40,,,,,,,
10,,43,,,9518.404296875,0.15572570264339447,10963.1865234375,0.15208785235881805,10963.1865234375
10,,43,13573.3427734375,,,,,,
,0.0001,44,,,,,,,
11,,47,,,9292.3349609375,0.15529213845729828,10719.494140625,0.151855006814003,10719.494140625
11,,47,13532.611328125,,,,,,
,0.0001,48,,,,,,,
12,,49,,13095.0380859375,,,,,
12,,51,,,8541.17578125,0.14815650880336761,10337.7626953125,0.14344950020313263,10337.7626953125
12,,51,13363.5625,,,,,,
,0.0001,52,,,,,,,
13,,55,,,8324.4599609375,0.14730501174926758,10356.505859375,0.14312012493610382,10356.505859375
13,,55,13296.88671875,,,,,,
,0.0001,56,,,,,,,
14,,59,,14505.181640625,,,,,
14,,59,,,8102.9560546875,0.14520172774791718,10325.083984375,0.14101429283618927,10325.083984375
14,,59,13250.232421875,,,,,,
,0.0001,60,,,,,,,
15,,63,,,7368.39306640625,0.13505271077156067,9973.880859375,0.12867625057697296,9973.880859375
15,,63,13105.267578125,,,,,,
,0.0001,64,,,,,,,
16,,67,,,7982.8623046875,0.14129307866096497,10009.810546875,0.13606363534927368,10009.810546875
16,,67,12791.9951171875,,,,,,
,0.0001,68,,,,,,,
17,,69,,13195.7431640625,,,,,
17,,71,,,7249.736328125,0.13028836250305176,9609.2314453125,0.12256773561239243,9609.2314453125
17,,71,12772.375,,,,,,
,0.0001,72,,,,,,,
18,,75,,,7164.71630859375,0.12800121307373047,9501.84765625,0.11980541795492172,9501.84765625
18,,75,12792.162109375,,,,,,
,0.0001,76,,,,,,,
19,,79,,12748.7998046875,,,,,
19,,79,,,7383.30810546875,0.13013415038585663,9530.9296875,0.12249960750341415,9530.9296875
19,,79,12654.4453125,,,,,,
,0.0001,80,,,,,,,
20,,83,,,6822.77197265625,0.12279395759105682,9305.03125,0.11388341337442398,9305.03125
20,,83,12714.953125,,,,,,
,0.0001,84,,,,,,,
21,,87,,,6514.478515625,0.11885199695825577,9183.572265625,0.10942094027996063,9183.572265625
21,,87,12643.38671875,,,,,,
,0.0001,88,,,,,,,
22,,89,,12830.291015625,,,,,
22,,91,,,6490.19384765625,0.11852717399597168,9132.505859375,0.10931334644556046,9132.505859375
22,,91,12791.546875,,,,,,
,0.0001,92,,,,,,,
23,,95,,,5942.1865234375,0.11151189357042313,8967.287109375,0.10115306824445724,8967.287109375
23,,95,12673.0712890625,,,,,,
,0.0001,96,,,,,,,
24,,99,,12977.7392578125,,,,,
24,,99,,,5653.90283203125,0.10734691470861435,8838.5888671875,0.09623552858829498,8838.5888671875
24,,99,12984.341796875,,,,,,
,0.0001,100,,,,,,,
25,,103,,,5543.30419921875,0.10544123500585556,8716.451171875,0.09428580850362778,8716.451171875
25,,103,12263.1884765625,,,,,,
,0.0001,104,,,,,,,
26,,107,,,5417.19384765625,0.10359980165958405,8604.412109375,0.09262301027774811,8604.412109375
26,,107,12407.69140625,,,,,,
,0.0001,108,,,,,,,
27,,109,,12328.10546875,,,,,
27,,111,,,5366.0126953125,0.10302015393972397,8535.556640625,0.09253434836864471,8535.556640625
27,,111,12036.8994140625,,,,,,
,0.0001,112,,,,,,,
28,,115,,,5360.62939453125,0.10337942093610764,8489.3388671875,0.09340324252843857,8489.3388671875
28,,115,12433.244140625,,,,,,
,0.0001,116,,,,,,,
29,,119,,12864.1630859375,,,,,
29,,119,,,5059.96923828125,0.09995797276496887,8457.2861328125,0.08888353407382965,8457.2861328125
29,,119,12357.3818359375,,,,,,
