date,actual,forecast,error,abs_error,percent_error,abs_percent_error,model_name
2025-08-05,74418,66861.93533507535,7556.064664924648,7556.064664924648,10.153544391040674,10.153544391040674,N-BEATS_ARL_Last30Days
2025-08-06,74867,71629.03004180148,3237.9699581985187,3237.9699581985187,4.324962878435784,4.324962878435784,N-BEATS_ARL_Last30Days
2025-08-07,75393,76018.9121416678,-625.9121416677954,625.9121416677954,-0.8301992780069706,0.8301992780069706,N-BEATS_ARL_Last30Days
2025-08-08,82026,81351.5537715607,674.4462284392939,674.4462284392939,0.8222346919748541,0.8222346919748541,N-BEATS_ARL_Last30Days
2025-08-09,54882,62407.68543334708,-7525.6854333470765,7525.6854333470765,-13.71248393525578,13.71248393525578,N-BEATS_ARL_Last30Days
2025-08-10,48181,53073.09637816059,-4892.09637816059,4892.09637816059,-10.153579996597392,10.153579996597392,N-BEATS_ARL_Last30Days
2025-08-11,54435,57085.50164623371,-2650.501646233708,2650.501646233708,-4.869112971863155,4.869112971863155,N-BEATS_ARL_Last30Days
2025-08-12,46391,57859.73348386504,-11468.733483865042,11468.733483865042,-24.721893220376888,24.721893220376888,N-BEATS_ARL_Last30Days
2025-08-13,76435,70706.8148541844,5728.185145815602,5728.185145815602,7.494191333571795,7.494191333571795,N-BEATS_ARL_Last30Days
2025-08-14,75478,73733.62417280565,1744.3758271943516,1744.3758271943516,2.3111049937655364,2.3111049937655364,N-BEATS_ARL_Last30Days
2025-08-15,50318,78156.76073479005,-27838.76073479005,27838.76073479005,-55.3256503334593,55.3256503334593,N-BEATS_ARL_Last30Days
2025-08-16,60256,55359.70919754052,4896.29080245948,4896.29080245948,8.125814528776354,8.125814528776354,N-BEATS_ARL_Last30Days
2025-08-17,54025,47172.5788577388,6852.421142261199,6852.421142261199,12.683796653884679,12.683796653884679,N-BEATS_ARL_Last30Days
2025-08-18,76973,65331.79415307638,11641.205846923622,11641.205846923622,15.123752285767244,15.123752285767244,N-BEATS_ARL_Last30Days
2025-08-19,75202,73704.12536849474,1497.8746315052558,1497.8746315052558,1.9918015897253474,1.9918015897253474,N-BEATS_ARL_Last30Days
2025-08-20,75237,74045.05563832447,1191.9443616755307,1191.9443616755307,1.5842529097060365,1.5842529097060365,N-BEATS_ARL_Last30Days
2025-08-21,74977,76198.3267706827,-1221.3267706827028,1221.3267706827028,-1.6289352343821475,1.6289352343821475,N-BEATS_ARL_Last30Days
2025-08-22,79789,79738.9334259927,50.066574007301824,50.066574007301824,0.06274871725087647,0.06274871725087647,N-BEATS_ARL_Last30Days
2025-08-23,54469,55221.30997827501,-752.3099782750069,752.3099782750069,-1.3811709013842863,1.3811709013842863,N-BEATS_ARL_Last30Days
2025-08-24,48479,52016.78750259513,-3537.787502595129,3537.787502595129,-7.297566993120999,7.297566993120999,N-BEATS_ARL_Last30Days
2025-08-25,73636,71371.3005086843,2264.699491315696,2264.699491315696,3.075533015530034,3.075533015530034,N-BEATS_ARL_Last30Days
2025-08-26,75298,75738.15436547495,-440.15436547495483,440.15436547495483,-0.5845498757934539,0.5845498757934539,N-BEATS_ARL_Last30Days
2025-08-27,75392,74574.39970928249,817.6002907175134,817.6002907175134,1.084465580854087,1.084465580854087,N-BEATS_ARL_Last30Days
2025-08-28,73828,77343.70056194584,-3515.700561945836,3515.700561945836,-4.762015173031689,4.762015173031689,N-BEATS_ARL_Last30Days
2025-08-29,79477,80549.51714987277,-1072.5171498727723,1072.5171498727723,-1.349468588236562,1.349468588236562,N-BEATS_ARL_Last30Days
2025-08-30,55827,55468.06129142308,358.93870857691945,358.93870857691945,0.6429482303847949,0.6429482303847949,N-BEATS_ARL_Last30Days
2025-08-31,51281,52033.12349630107,-752.123496301072,752.123496301072,-1.4666708845402234,1.4666708845402234,N-BEATS_ARL_Last30Days
2025-09-01,74607,69620.24244339044,4986.757556609562,4986.757556609562,6.684034415818305,6.684034415818305,N-BEATS_ARL_Last30Days
2025-09-02,73273,71439.5754862941,1833.4245137059042,1833.4245137059042,2.5021829510268505,2.5021829510268505,N-BEATS_ARL_Last30Days
2025-09-03,75562,74684.19805432789,877.8019456721086,877.8019456721086,1.1616976068289728,1.1616976068289728,N-BEATS_ARL_Last30Days
