epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,4,,,15112.1982421875,0.25425148010253906,15771.85546875,0.2415672093629837,15112.1982421875
0,,4,13960.5625,,,,,,
,0.0003,5,,,,,,,
1,,9,,12158.083984375,,,,,
1,,9,,,12734.0732421875,0.22090686857700348,13822.427734375,0.20512403547763824,12734.0732421875
1,,9,12010.666015625,,,,,,
,0.0003,10,,,,,,,
2,,14,,,11925.4208984375,0.19987455010414124,13045.876953125,0.19182981550693512,11925.4208984375
2,,14,11184.42578125,,,,,,
,0.0003,15,,,,,,,
3,,19,,10235.4482421875,,,,,
3,,19,,,10779.1982421875,0.17769885063171387,12280.8212890625,0.1720680296421051,10779.1982421875
3,,19,10324.064453125,,,,,,
,0.0003,20,,,,,,,
4,,24,,,9375.1240234375,0.15275287628173828,11503.666015625,0.14746293425559998,9375.1240234375
4,,24,9341.982421875,,,,,,
,0.0003,25,,,,,,,
5,,29,,8017.33447265625,,,,,
5,,29,,,9151.4599609375,0.14924655854701996,11103.578125,0.14473924040794373,9151.4599609375
5,,29,8432.5400390625,,,,,,
,0.0003,30,,,,,,,
6,,34,,,7827.1279296875,0.13407477736473083,9985.138671875,0.1264139711856842,7827.1279296875
6,,34,7515.3330078125,,,,,,
,0.0003,35,,,,,,,
7,,39,,6787.1376953125,,,,,
7,,39,,,7158.06884765625,0.12354705482721329,9533.3828125,0.11576675623655319,7158.06884765625
7,,39,7103.4580078125,,,,,,
,0.0003,40,,,,,,,
8,,44,,,7446.087890625,0.12707848846912384,9550.787109375,0.12066145986318588,7446.087890625
8,,44,6923.46875,,,,,,
,0.0003,45,,,,,,,
9,,49,,6507.421875,,,,,
9,,49,,,7041.75146484375,0.12230347096920013,9273.19921875,0.11485446989536285,7041.75146484375
9,,49,6664.9921875,,,,,,
,0.0003,50,,,,,,,
10,,54,,,5949.7431640625,0.10894589126110077,8813.7119140625,0.09960153698921204,5949.7431640625
10,,54,6289.65478515625,,,,,,
,0.0003,55,,,,,,,
11,,59,,6691.12060546875,,,,,
11,,59,,,4953.7978515625,0.09737550467252731,8736.1162109375,0.08592323958873749,4953.7978515625
11,,59,6059.8603515625,,,,,,
,0.0003,60,,,,,,,
12,,64,,,4810.8828125,0.09720160812139511,8834.892578125,0.08467204868793488,4810.8828125
12,,64,5973.9833984375,,,,,,
,0.0003,65,,,,,,,
13,,69,,5447.953125,,,,,
