ยานพาหนะ/ท่า,วันที่,ปริมาณ
รถไฟฟ้า BTS,2020-01-27,827200.0
รถไฟฟ้าสายสีน้ำเงิน,2020-01-28,404920.0
รถไฟฟ้าสายสีม่วง,2020-01-28,51044.0
รถไฟฟ้า ARL,2020-01-28,76150.0
รถไฟฟ้า BTS,2020-01-28,852700.0
รถไฟฟ้าสายสีน้ำเงิน,2020-01-29,401754.0
รถไฟฟ้าสายสีม่วง,2020-01-29,50013.0
รถไฟฟ้า ARL,2020-01-29,74102.0
รถไฟฟ้า BTS,2020-01-29,847400.0
รถไฟฟ้าสายสีน้ำเงิน,2020-01-30,402481.0
รถไฟฟ้าสายสีม่วง,2020-01-30,49927.0
รถไฟฟ้า ARL,2020-01-30,78567.0
รถไฟฟ้า BTS,2020-01-30,863200.0
รถไฟฟ้าสายสีน้ำเงิน,2020-01-31,425928.0
รถไฟฟ้าสายสีม่วง,2020-01-31,53171.0
รถไฟฟ้า ARL,2020-01-31,84351.0
รถไฟฟ้า BTS,2020-01-31,950500.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-01,275879.0
รถไฟฟ้าสายสีม่วง,2020-02-01,33234.0
รถไฟฟ้า ARL,2020-02-01,58430.0
รถไฟฟ้า BTS,2020-02-01,655000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-02,224924.0
รถไฟฟ้าสายสีม่วง,2020-02-02,26922.0
รถไฟฟ้า ARL,2020-02-02,54023.0
รถไฟฟ้า BTS,2020-02-02,551700.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-03,393006.0
รถไฟฟ้าสายสีม่วง,2020-02-03,51217.0
รถไฟฟ้า ARL,2020-02-03,75965.0
รถไฟฟ้า BTS,2020-02-03,855800.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-04,382133.0
รถไฟฟ้าสายสีม่วง,2020-02-04,50610.0
รถไฟฟ้า ARL,2020-02-04,73907.0
รถไฟฟ้า BTS,2020-02-04,858600.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-05,399754.0
รถไฟฟ้าสายสีม่วง,2020-02-05,50774.0
รถไฟฟ้า ARL,2020-02-05,75789.0
รถไฟฟ้า BTS,2020-02-05,862600.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-06,399112.0
รถไฟฟ้าสายสีม่วง,2020-02-06,50051.0
รถไฟฟ้า ARL,2020-02-06,79288.0
รถไฟฟ้า BTS,2020-02-06,859800.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-07,423459.0
รถไฟฟ้าสายสีม่วง,2020-02-07,53488.0
รถไฟฟ้า ARL,2020-02-07,80651.0
รถไฟฟ้า BTS,2020-02-07,931300.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-08,256033.0
รถไฟฟ้าสายสีม่วง,2020-02-08,29710.0
รถไฟฟ้า ARL,2020-02-08,57520.0
รถไฟฟ้า BTS,2020-02-08,603800.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-09,201389.0
รถไฟฟ้าสายสีม่วง,2020-02-09,23841.0
รถไฟฟ้า ARL,2020-02-09,50994.0
รถไฟฟ้า BTS,2020-02-09,455200.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-10,202436.0
รถไฟฟ้าสายสีม่วง,2020-02-10,24804.0
รถไฟฟ้า ARL,2020-02-10,49784.0
รถไฟฟ้า BTS,2020-02-10,459400.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-11,386968.0
รถไฟฟ้าสายสีม่วง,2020-02-11,50481.0
รถไฟฟ้า ARL,2020-02-11,70551.0
รถไฟฟ้า BTS,2020-02-11,815100.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-12,391027.0
รถไฟฟ้าสายสีม่วง,2020-02-12,50682.0
รถไฟฟ้า ARL,2020-02-12,71848.0
รถไฟฟ้า BTS,2020-02-12,816400.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-13,395453.0
รถไฟฟ้าสายสีม่วง,2020-02-13,50713.0
รถไฟฟ้า ARL,2020-02-13,73272.0
รถไฟฟ้า BTS,2020-02-13,837300.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-14,432048.0
รถไฟฟ้าสายสีม่วง,2020-02-14,55575.0
รถไฟฟ้า ARL,2020-02-14,79931.0
รถไฟฟ้า BTS,2020-02-14,944700.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-15,271721.0
รถไฟฟ้าสายสีม่วง,2020-02-15,32661.0
รถไฟฟ้า ARL,2020-02-15,58659.0
รถไฟฟ้า BTS,2020-02-15,599400.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-16,221245.0
รถไฟฟ้าสายสีม่วง,2020-02-16,25563.0
รถไฟฟ้า ARL,2020-02-16,45572.0
รถไฟฟ้า BTS,2020-02-16,487100.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-17,394847.0
รถไฟฟ้าสายสีม่วง,2020-02-17,50592.0
รถไฟฟ้า ARL,2020-02-17,72562.0
รถไฟฟ้า BTS,2020-02-17,803100.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-18,400256.0
รถไฟฟ้าสายสีม่วง,2020-02-18,50389.0
รถไฟฟ้า ARL,2020-02-18,69714.0
รถไฟฟ้า BTS,2020-02-18,808100.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-19,400052.0
รถไฟฟ้าสายสีม่วง,2020-02-19,49515.0
รถไฟฟ้า ARL,2020-02-19,67729.0
รถไฟฟ้า BTS,2020-02-19,812400.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-20,403491.0
รถไฟฟ้าสายสีม่วง,2020-02-20,49447.0
รถไฟฟ้า ARL,2020-02-20,70699.0
รถไฟฟ้า BTS,2020-02-20,816100.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-21,417255.0
รถไฟฟ้าสายสีม่วง,2020-02-21,51616.0
รถไฟฟ้า ARL,2020-02-21,75307.0
รถไฟฟ้า BTS,2020-02-21,862200.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-22,259431.0
รถไฟฟ้าสายสีม่วง,2020-02-22,31904.0
รถไฟฟ้า ARL,2020-02-22,51213.0
รถไฟฟ้า BTS,2020-02-22,561900.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-23,202282.0
รถไฟฟ้าสายสีม่วง,2020-02-23,24839.0
รถไฟฟ้า ARL,2020-02-23,43833.0
รถไฟฟ้า BTS,2020-02-23,461200.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-24,380686.0
รถไฟฟ้าสายสีม่วง,2020-02-24,49089.0
รถไฟฟ้า ARL,2020-02-24,69091.0
รถไฟฟ้า BTS,2020-02-24,780200.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-25,382353.0
รถไฟฟ้าสายสีม่วง,2020-02-25,49350.0
รถไฟฟ้า ARL,2020-02-25,67954.0
รถไฟฟ้า BTS,2020-02-25,793600.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-26,378658.0
รถไฟฟ้าสายสีม่วง,2020-02-26,48133.0
รถไฟฟ้า ARL,2020-02-26,67225.0
รถไฟฟ้า BTS,2020-02-26,783500.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-27,367496.0
รถไฟฟ้าสายสีม่วง,2020-02-27,47207.0
รถไฟฟ้า ARL,2020-02-27,66689.0
รถไฟฟ้า BTS,2020-02-27,768900.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-28,393497.0
รถไฟฟ้าสายสีม่วง,2020-02-28,48288.0
รถไฟฟ้า ARL,2020-02-28,71026.0
รถไฟฟ้า BTS,2020-02-28,827000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-02-29,232369.0
รถไฟฟ้าสายสีม่วง,2020-02-29,29452.0
รถไฟฟ้า ARL,2020-02-29,45447.0
รถไฟฟ้า BTS,2020-02-29,520900.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-01,183140.0
รถไฟฟ้าสายสีม่วง,2020-03-01,22269.0
รถไฟฟ้า ARL,2020-03-01,42549.0
รถไฟฟ้า BTS,2020-03-01,427000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-02,361736.0
รถไฟฟ้าสายสีม่วง,2020-03-02,45914.0
รถไฟฟ้า ARL,2020-03-02,64400.0
รถไฟฟ้า BTS,2020-03-02,743000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-03,372844.0
รถไฟฟ้าสายสีม่วง,2020-03-03,45918.0
รถไฟฟ้า ARL,2020-03-03,63037.0
รถไฟฟ้า BTS,2020-03-03,745000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-04,364674.0
รถไฟฟ้าสายสีม่วง,2020-03-04,45501.0
รถไฟฟ้า ARL,2020-03-04,62093.0
รถไฟฟ้า BTS,2020-03-04,738000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-05,361229.0
รถไฟฟ้าสายสีม่วง,2020-03-05,44819.0
รถไฟฟ้า ARL,2020-03-05,64741.0
รถไฟฟ้า BTS,2020-03-05,744000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-06,371369.0
รถไฟฟ้าสายสีม่วง,2020-03-06,47226.0
รถไฟฟ้า ARL,2020-03-06,65964.0
รถไฟฟ้า BTS,2020-03-06,777000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-07,210564.0
รถไฟฟ้าสายสีม่วง,2020-03-07,26802.0
รถไฟฟ้า ARL,2020-03-07,43805.0
รถไฟฟ้า BTS,2020-03-07,472000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-08,170247.0
รถไฟฟ้าสายสีม่วง,2020-03-08,21327.0
รถไฟฟ้า ARL,2020-03-08,37936.0
รถไฟฟ้า BTS,2020-03-08,389000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-09,349968.0
รถไฟฟ้าสายสีม่วง,2020-03-09,44929.0
รถไฟฟ้า ARL,2020-03-09,63262.0
รถไฟฟ้า BTS,2020-03-09,710000.0
รถไฟฟ้าสายสีน้ำเงิน,2020-03-10,352704.0
